town,precinct,office,district,party,candidate,votes
Milford,Milford 117 Live Oaks,Governor,,Rep,Tom Foley,396
Milford,Milford 119 Live Oaks,Governor,,Rep,Tom Foley,364
Milford,Milford 127 Orange,Governor,,Rep,Tom Foley,1506
Milford,Milford 128 JFK,Governor,,Rep,Tom Foley,1118
Milford,Milford 238 Meadowside,Governor,,Rep,Tom Foley,853
Milford,Milford 248 Island View,Governor,,Rep,Tom Foley,178
Milford,Milford 318 West Shore,Governor,,Rep,Tom Foley,982
Milford,Milford 328 Egan,Governor,,Rep,Tom Foley,689
Milford,Milford 419 Foran,Governor,,Rep,Tom Foley,1874
Milford,Milford 529 Harborside,Governor,,Rep,Tom Foley,2126
Milford,Milford 117 Live Oaks,Governor,,Dem,Dan Malloy,289
Milford,Milford 119 Live Oaks,Governor,,Dem,Dan Malloy,293
Milford,Milford 127 Orange,Governor,,Dem,Dan Malloy,904
Milford,Milford 128 JFK,Governor,,Dem,Dan Malloy,857
Milford,Milford 238 Meadowside,Governor,,Dem,Dan Malloy,837
Milford,Milford 248 Island View,Governor,,Dem,Dan Malloy,154
Milford,Milford 318 West Shore,Governor,,Dem,Dan Malloy,924
Milford,Milford 328 Egan,Governor,,Dem,Dan Malloy,648
Milford,Milford 419 Foran,Governor,,Dem,Dan Malloy,1638
Milford,Milford 529 Harborside,Governor,,Dem,Dan Malloy,1842
Milford,Milford 117 Live Oaks,Governor,,WF,Dan Malloy,16
Milford,Milford 119 Live Oaks,Governor,,WF,Dan Malloy,11
Milford,Milford 127 Orange,Governor,,WF,Dan Malloy,33
Milford,Milford 128 JFK,Governor,,WF,Dan Malloy,37
Milford,Milford 238 Meadowside,Governor,,WF,Dan Malloy,39
Milford,Milford 248 Island View,Governor,,WF,Dan Malloy,11
Milford,Milford 318 West Shore,Governor,,WF,Dan Malloy,42
Milford,Milford 328 Egan,Governor,,WF,Dan Malloy,38
Milford,Milford 419 Foran,Governor,,WF,Dan Malloy,80
Milford,Milford 529 Harborside,Governor,,WF,Dan Malloy,80
Milford,Milford 117 Live Oaks,Governor,,Ind,Thomas Marsh,10
Milford,Milford 119 Live Oaks,Governor,,Ind,Thomas Marsh,11
Milford,Milford 127 Orange,Governor,,Ind,Thomas Marsh,37
Milford,Milford 128 JFK,Governor,,Ind,Thomas Marsh,30
Milford,Milford 238 Meadowside,Governor,,Ind,Thomas Marsh,45
Milford,Milford 248 Island View,Governor,,Ind,Thomas Marsh,7
Milford,Milford 318 West Shore,Governor,,Ind,Thomas Marsh,42
Milford,Milford 328 Egan,Governor,,Ind,Thomas Marsh,19
Milford,Milford 419 Foran,Governor,,Ind,Thomas Marsh,61
Milford,Milford 529 Harborside,Governor,,Ind,Thomas Marsh,72
Milford,Milford 117 Live Oaks,US Senate,,Rep,Linda McMahon,342
Milford,Milford 119 Live Oaks,US Senate,,Rep,Linda McMahon,274
Milford,Milford 127 Orange,US Senate,,Rep,Linda McMahon,1255
Milford,Milford 128 JFK,US Senate,,Rep,Linda McMahon,934
Milford,Milford 238 Meadowside,US Senate,,Rep,Linda McMahon,700
Milford,Milford 248 Island View,US Senate,,Rep,Linda McMahon,147
Milford,Milford 318 West Shore,US Senate,,Rep,Linda McMahon,807
Milford,Milford 328 Egan,US Senate,,Rep,Linda McMahon,567
Milford,Milford 419 Foran,US Senate,,Rep,Linda McMahon,1622
Milford,Milford 529 Harborside,US Senate,,Rep,Linda McMahon,1778
Milford,Milford 117 Live Oaks,US Senate,,Dem,Richard Blumenthal,348
Milford,Milford 119 Live Oaks,US Senate,,Dem,Richard Blumenthal,381
Milford,Milford 127 Orange,US Senate,,Dem,Richard Blumenthal,1159
Milford,Milford 128 JFK,US Senate,,Dem,Richard Blumenthal,1030
Milford,Milford 238 Meadowside,US Senate,,Dem,Richard Blumenthal,1007
Milford,Milford 248 Island View,US Senate,,Dem,Richard Blumenthal,192
Milford,Milford 318 West Shore,US Senate,,Dem,Richard Blumenthal,1108
Milford,Milford 328 Egan,US Senate,,Dem,Richard Blumenthal,777
Milford,Milford 419 Foran,US Senate,,Dem,Richard Blumenthal,1907
Milford,Milford 529 Harborside,US Senate,,Dem,Richard Blumenthal,2215
Milford,Milford 117 Live Oaks,US Senate,,WF,Richard Blumenthal,24
Milford,Milford 119 Live Oaks,US Senate,,WF,Richard Blumenthal,18
Milford,Milford 127 Orange,US Senate,,WF,Richard Blumenthal,51
Milford,Milford 128 JFK,US Senate,,WF,Richard Blumenthal,58
Milford,Milford 238 Meadowside,US Senate,,WF,Richard Blumenthal,55
Milford,Milford 248 Island View,US Senate,,WF,Richard Blumenthal,12
Milford,Milford 318 West Shore,US Senate,,WF,Richard Blumenthal,63
Milford,Milford 328 Egan,US Senate,,WF,Richard Blumenthal,48
Milford,Milford 419 Foran,US Senate,,WF,Richard Blumenthal,94
Milford,Milford 529 Harborside,US Senate,,WF,Richard Blumenthal,106
Milford,Milford 117 Live Oaks,US Senate,,CFL,John Mertens,3
Milford,Milford 119 Live Oaks,US Senate,,CFL,John Mertens,8
Milford,Milford 127 Orange,US Senate,,CFL,John Mertens,15
Milford,Milford 128 JFK,US Senate,,CFL,John Mertens,15
Milford,Milford 238 Meadowside,US Senate,,CFL,John Mertens,13
Milford,Milford 248 Island View,US Senate,,CFL,John Mertens,1
Milford,Milford 318 West Shore,US Senate,,CFL,John Mertens,14
Milford,Milford 328 Egan,US Senate,,CFL,John Mertens,7
Milford,Milford 419 Foran,US Senate,,CFL,John Mertens,22
Milford,Milford 529 Harborside,US Senate,,CFL,John Mertens,16
Milford,Milford 117 Live Oaks,US Senate,,Ind,Warren Mosler,5
Milford,Milford 119 Live Oaks,US Senate,,Ind,Warren Mosler,11
Milford,Milford 127 Orange,US Senate,,Ind,Warren Mosler,18
Milford,Milford 128 JFK,US Senate,,Ind,Warren Mosler,26
Milford,Milford 238 Meadowside,US Senate,,Ind,Warren Mosler,25
Milford,Milford 248 Island View,US Senate,,Ind,Warren Mosler,4
Milford,Milford 318 West Shore,US Senate,,Ind,Warren Mosler,23
Milford,Milford 328 Egan,US Senate,,Ind,Warren Mosler,16
Milford,Milford 419 Foran,US Senate,,Ind,Warren Mosler,36
Milford,Milford 529 Harborside,US Senate,,Ind,Warren Mosler,42
Milford,Milford 117 Live Oaks,US Senate,,Ind,write-ins,0
Milford,Milford 119 Live Oaks,US Senate,,Ind,write-ins,0
Milford,Milford 127 Orange,US Senate,,Ind,write-ins,0
Milford,Milford 128 JFK,US Senate,,Ind,write-ins,0
Milford,Milford 238 Meadowside,US Senate,,Ind,write-ins,0
Milford,Milford 248 Island View,US Senate,,Ind,write-ins,0
Milford,Milford 318 West Shore,US Senate,,Ind,write-ins,0
Milford,Milford 328 Egan,US Senate,,Ind,write-ins,0
Milford,Milford 419 Foran,US Senate,,Ind,Bryan Hill write-ins,3
Milford,Milford 529 Harborside,US Senate,,Ind,Bryan Hill write-ins,1
Milford,Milford 117 Live Oaks,US House,3,Rep,Jerry Labriola,299
Milford,Milford 119 Live Oaks,US House,3,Rep,Jerry Labriola,265
Milford,Milford 127 Orange,US House,3,Rep,Jerry Labriola,1132
Milford,Milford 128 JFK,US House,3,Rep,Jerry Labriola,824
Milford,Milford 238 Meadowside,US House,3,Rep,Jerry Labriola,635
Milford,Milford 248 Island View,US House,3,Rep,Jerry Labriola,135
Milford,Milford 318 West Shore,US House,3,Rep,Jerry Labriola,721
Milford,Milford 328 Egan,US House,3,Rep,Jerry Labriola,484
Milford,Milford 419 Foran,US House,3,Rep,Jerry Labriola,1431
Milford,Milford 529 Harborside,US House,3,Rep,Jerry Labriola,1639
Milford,Milford 117 Live Oaks,US House,3,Dem,Rosa DeLauro,373
Milford,Milford 119 Live Oaks,US House,3,Dem,Rosa DeLauro,387
Milford,Milford 127 Orange,US House,3,Dem,Rosa DeLauro,1244
Milford,Milford 128 JFK,US House,3,Dem,Rosa DeLauro,1116
Milford,Milford 238 Meadowside,US House,3,Dem,Rosa DeLauro,1049
Milford,Milford 248 Island View,US House,3,Dem,Rosa DeLauro,195
Milford,Milford 318 West Shore,US House,3,Dem,Rosa DeLauro,1164
Milford,Milford 328 Egan,US House,3,Dem,Rosa DeLauro,842
Milford,Milford 419 Foran,US House,3,Dem,Rosa DeLauro,2050
Milford,Milford 529 Harborside,US House,3,Dem,Rosa DeLauro,2310
Milford,Milford 117 Live Oaks,US House,3,Green,Charles Pillsbury,5
Milford,Milford 119 Live Oaks,US House,3,Green,Charles Pillsbury,3
Milford,Milford 127 Orange,US House,3,Green,Charles Pillsbury,11
Milford,Milford 128 JFK,US House,3,Green,Charles Pillsbury,17
Milford,Milford 238 Meadowside,US House,3,Green,Charles Pillsbury,31
Milford,Milford 248 Island View,US House,3,Green,Charles Pillsbury,4
Milford,Milford 318 West Shore,US House,3,Green,Charles Pillsbury,20
Milford,Milford 328 Egan,US House,3,Green,Charles Pillsbury,8
Milford,Milford 419 Foran,US House,3,Green,Charles Pillsbury,40
Milford,Milford 529 Harborside,US House,3,Green,Charles Pillsbury,56
Milford,Milford 117 Live Oaks,US House,3,WF,Rosa DeLauro,33
Milford,Milford 119 Live Oaks,US House,3,WF,Rosa DeLauro,16
Milford,Milford 127 Orange,US House,3,WF,Rosa DeLauro,63
Milford,Milford 128 JFK,US House,3,WF,Rosa DeLauro,72
Milford,Milford 238 Meadowside,US House,3,WF,Rosa DeLauro,61
Milford,Milford 248 Island View,US House,3,WF,Rosa DeLauro,12
Milford,Milford 318 West Shore,US House,3,WF,Rosa DeLauro,72
Milford,Milford 328 Egan,US House,3,WF,Rosa DeLauro,62
Milford,Milford 419 Foran,US House,3,WF,Rosa DeLauro,111
Milford,Milford 529 Harborside,US House,3,WF,Rosa DeLauro,109
Milford,Milford 117 Live Oaks,State Senate,,Rep,Vincent Marino,305
Milford,Milford 119 Live Oaks,State Senate,,Rep,Vincent Marino,283
Milford,Milford 127 Orange,State Senate,,Rep,Vincent Marino,1167
Milford,Milford 128 JFK,State Senate,,Rep,Vincent Marino,882
Milford,Milford 238 Meadowside,State Senate,,Rep,Vincent Marino,694
Milford,Milford 248 Island View,State Senate,,Rep,Vincent Marino,151
Milford,Milford 318 West Shore,State Senate,,Rep,Vincent Marino,809
Milford,Milford 328 Egan,State Senate,,Rep,Vincent Marino,517
Milford,Milford 419 Foran,State Senate,,Rep,Vincent Marino,1511
Milford,Milford 529 Harborside,State Senate,,Rep,Vincent Marino,1721
Milford,Milford 117 Live Oaks,State Senate,,Dem,Gayle Slossberg,383
Milford,Milford 119 Live Oaks,State Senate,,Dem,Gayle Slossberg,378
Milford,Milford 127 Orange,State Senate,,Dem,Gayle Slossberg,1264
Milford,Milford 128 JFK,State Senate,,Dem,Gayle Slossberg,1101
Milford,Milford 238 Meadowside,State Senate,,Dem,Gayle Slossberg,1036
Milford,Milford 248 Island View,State Senate,,Dem,Gayle Slossberg,183
Milford,Milford 318 West Shore,State Senate,,Dem,Gayle Slossberg,1125
Milford,Milford 328 Egan,State Senate,,Dem,Gayle Slossberg,830
Milford,Milford 419 Foran,State Senate,,Dem,Gayle Slossberg,2062
Milford,Milford 529 Harborside,State Senate,,Dem,Gayle Slossberg,2308
Milford,Milford 117 Live Oaks,State Senate,,WF,Gayle Slossberg,18
Milford,Milford 119 Live Oaks,State Senate,,WF,Gayle Slossberg,16
Milford,Milford 127 Orange,State Senate,,WF,Gayle Slossberg,40
Milford,Milford 128 JFK,State Senate,,WF,Gayle Slossberg,59
Milford,Milford 238 Meadowside,State Senate,,WF,Gayle Slossberg,48
Milford,Milford 248 Island View,State Senate,,WF,Gayle Slossberg,12
Milford,Milford 318 West Shore,State Senate,,WF,Gayle Slossberg,48
Milford,Milford 328 Egan,State Senate,,WF,Gayle Slossberg,38
Milford,Milford 419 Foran,State Senate,,WF,Gayle Slossberg,79
Milford,Milford 529 Harborside,State Senate,,WF,Gayle Slossberg,94
Milford,Milford 117 Live Oaks,State House,117,Rep,Peggy Rogers,352
Milford,Milford 119 Live Oaks,State House,119,Rep,Daniel German,282
Milford,Milford 127 Orange,State House,117,Rep,Peggy Rogers,1385
Milford,Milford 128 JFK,State House,118,Rep,Gregory Smith,1052
Milford,Milford 238 Meadowside,State House,118,Rep,Gregory Smith,820
Milford,Milford 248 Island View,State House,118,Rep,Gregory Smith,171
Milford,Milford 318 West Shore,State House,118,Rep,Gregory Smith,858
Milford,Milford 328 Egan,State House,118,Rep,Gregory Smith,606
Milford,Milford 419 Foran,State House,119,Rep,Daniel German,1635
Milford,Milford 529 Harborside,State House,119,Rep,Daniel German,1949
Milford,Milford 117 Live Oaks,State House,117,Dem,Paul Davis,336
Milford,Milford 119 Live Oaks,State House,119,Dem,Richard Roy,396
Milford,Milford 127 Orange,State House,117,Dem,Paul Davis,1015
Milford,Milford 128 JFK,State House,118,Dem,Kim Rose,863
Milford,Milford 238 Meadowside,State House,118,Dem,Kim Rose,842
Milford,Milford 248 Island View,State House,118,Dem,Kim Rose,149
Milford,Milford 318 West Shore,State House,118,Dem,Kim Rose,1010
Milford,Milford 328 Egan,State House,118,Dem,Kim Rose,682
Milford,Milford 128 JFK,State House,118,WF,Kim Rose,45
Milford,Milford 238 Meadowside,State House,118,WF,Kim Rose,42
Milford,Milford 248 Island View,State House,118,WF,Kim Rose,8
Milford,Milford 318 West Shore,State House,118,WF,Kim Rose,56
Milford,Milford 328 Egan,State House,118,WF,Kim Rose,50
Milford,Milford 128 JFK,State House,118,Ind,Rocco Frank,53
Milford,Milford 238 Meadowside,State House,118,Ind,Rocco Frank,55
Milford,Milford 248 Island View,State House,118,Ind,Rocco Frank,13
Milford,Milford 318 West Shore,State House,118,Ind,Rocco Frank,53
Milford,Milford 328 Egan,State House,118,Ind,Rocco Frank,39
Milford,Milford 419 Foran,State House,119,Dem,Richard Roy,1995
Milford,Milford 529 Harborside,State House,119,Dem,Richard Roy,2157
Milford,Milford 117 Live Oaks,Secretary of State,,Rep,Jerry Farrell,354
Milford,Milford 119 Live Oaks,Secretary of State,,Rep,Jerry Farrell,320
Milford,Milford 127 Orange,Secretary of State,,Rep,Jerry Farrell,1341
Milford,Milford 128 JFK,Secretary of State,,Rep,Jerry Farrell,977
Milford,Milford 238 Meadowside,Secretary of State,,Rep,Jerry Farrell,740
Milford,Milford 248 Island View,Secretary of State,,Rep,Jerry Farrell,153
Milford,Milford 318 West Shore,Secretary of State,,Rep,Jerry Farrell,841
Milford,Milford 328 Egan,Secretary of State,,Rep,Jerry Farrell,573
Milford,Milford 419 Foran,Secretary of State,,Rep,Jerry Farrell,1657
Milford,Milford 529 Harborside,Secretary of State,,Rep,Jerry Farrell,1880
Milford,Milford 117 Live Oaks,Secretary of State,,Dem,Denise Merrill,292
Milford,Milford 119 Live Oaks,Secretary of State,,Dem,Denise Merrill,303
Milford,Milford 127 Orange,Secretary of State,,Dem,Denise Merrill,948
