County,Precinct,Office,District,Party,,Poll,Abs,EDR
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,WF,Jim Himes,34,1,1
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,UNK,Jim Himes,50,1,1
Fairfield,Bridgeport 126-2 Hallen,State Senate,23,DEM,Andres Ayala,645,12,9
,Bridgeport 126-2 Hallen,State Senate,23,WF,Andres Ayala,41,1,2
Fairfield,Bridgeport 126-2 Hallen,State Senate,23,UNK,Andres Ayala,37,0,0
Fairfield,Bridgeport 126-2 Hallen,State Assembly,126,DEM,Charlie Stallworth,689,14,10
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,REP,Peter Lumaj,84,2,3
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,IND,Peter Lumaj,13,0,0
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,DEM,Denise Merrill,626,12,9
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,WF,Denise Merrill,30,1,1
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,UNK,Denise Merrill,29,0,0
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,Green,Michael DeRosa,8,0,0
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,REP,Tim Herbst,85,2,3
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,IND,Tim Herbst,15,0,0
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,UNK,Tim Herbst,0,0,1
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,DEM,Denise Nappier,641,12,9
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,WF,Denise Nappier,36,1,2
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,UNK,Denise Nappier,31,0,0
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,write-in,Rolf Maurer,0,0,2
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,REP,Sharon McLaughlin,86,2,3
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,IND,Sharon McLaughlin,12,0,0
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,DEM,Kevin Lembo,613,12,8
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,WF,Kevin Lembo,36,1,1
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,IND,Kevin Lembo,28,0,0
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,Green,Rolf Maurer,10,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,REP,Kie Westby,77,2,4
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,IND,Kie Westby,12,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,DEM,George Jepsen,624,12,8
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,WF,George Jepsen,40,1,2
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,UNK,George Jepsen,31,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,Green,Stephen Fournier,9,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,REP,Thomas C. Foley,219,10,3
Fairfield,Bridgeport 126-3 Park City,Governor,,IND,Thomas C. Foley,7,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,UNK,Thomas C. Foley,4,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,DEM,Dannel P. Malloy,595,13,6
Fairfield,Bridgeport 126-3 Park City,Governor,,WF,Dannel P. Malloy,96,0,2
Fairfield,Bridgeport 126-3 Park City,Governor,,UNK,Dannel P. Malloy,78,1,1
Fairfield,Bridgeport 126-3 Park City,Governor,,PC,Joe Visconti,4,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,write-in,Donald Gaita,1,0,0
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,REP,Dan Debicella,185,8,1
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,IND,Dan Debicella,8,0,0
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,DEM,Jim Himes,626,12,9
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,WF,Jim Himes,102,0,1
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,UNK,Jim Himes,61,0,1
Fairfield,Bridgeport 126-3 Park City,State Senate,22,REP,Enrico Costatini,200,9,2
Fairfield,Bridgeport 126-3 Park City,State Senate,13,DEM,Marilyn Moore,614,3,7
Fairfield,Bridgeport 126-3 Park City,State Senate,13,WF,Marilyn Moore,105,1,1
Fairfield,Bridgeport 126-3 Park City,State Senate,13,UNK,Marilyn Moore,55,0,0
Fairfield,Bridgeport 126-3 Park City,State Assembly,126,DEM,Charlie Stallworth,717,11,8
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,REP,Peter Lumaj,205,8,1
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,IND,Peter Lumaj,14,0,0
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,DEM,Denise Merrill,595,11,8
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,WF,Denise Merrill,83,0,1
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,UNK,Denise Merrill,41,0,0
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,Green,Michael DeRosa,16,0,0
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,REP,Tim Herbst,200,9,1
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,IND,Tim Herbst,23,0,0
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,UNK,Tim Herbst,0,0,1
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,DEM,Denise Nappier,606,12,8
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,WF,Denise Nappier,84,0,1
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,UNK,Denise Nappier,43,0,0
Fairfield,Bridgeport 126-3 Park City,Comptroller,,REP,Sharon McLaughlin,194,8,2
Fairfield,Bridgeport 126-3 Park City,Comptroller,,IND,Sharon McLaughlin,14,0,0
Fairfield,Bridgeport 126-3 Park City,Comptroller,,UNK,Sharon McLaughlin,1,0,0
Fairfield,Bridgeport 126-3 Park City,Comptroller,,DEM,Kevin Lembo,591,11,7
Fairfield,Bridgeport 126-3 Park City,Comptroller,,WF,Kevin Lembo,92,0,1
Fairfield,Bridgeport 126-3 Park City,Comptroller,,IND,Kevin Lembo,42,0,0
Fairfield,Bridgeport 126-3 Park City,Comptroller,,Green,Rolf Maurer,9,0,0
Fairfield,Bridgeport 126-3 Park City,Attorney General,,REP,Kie Westby,168,8,2
Fairfield,Bridgeport 126-3 Park City,Attorney General,,IND,Kie Westby,13,0,0
Fairfield,Bridgeport 126-3 Park City,Attorney General,,UNK,Kie Westby,1,0,0
Fairfield,Bridgeport 126-3 Park City,Attorney General,,DEM,George Jepsen,618,11,8
Fairfield,Bridgeport 126-3 Park City,Attorney General,,WF,George Jepsen,90,0,1
Fairfield,Bridgeport 126-3 Park City,Attorney General,,UNK,George Jepsen,42,1,0
Fairfield,Bridgeport 126-3 Park City,Attorney General,,Green,Stephen Fournier,12,0,0
Fairfield,Bridgeport 126-4 Read,Governor,,REP,Thomas C. Foley,68,2,2
Fairfield,Bridgeport 126-4 Read,Governor,,IND,Thomas C. Foley,1,0,0
Fairfield,Bridgeport 126-4 Read,Governor,,UNK,Thomas C. Foley,2,0,0
Fairfield,Bridgeport 126-4 Read,Governor,,DEM,Dannel P. Malloy,206,5,2
Fairfield,Bridgeport 126-4 Read,Governor,,WF,Dannel P. Malloy,16,0,0
Fairfield,Bridgeport 126-4 Read,Governor,,UNK,Dannel P. Malloy,41,0,0
Fairfield,Bridgeport 126-4 Read,Governor,,PC,Joe Visconti,2,0,0
Fairfield,Bridgeport 126-4 Read,U.S. House,4,REP,Dan Debicella,60,1,1
Fairfield,Bridgeport 126-4 Read,U.S. House,4,IND,Dan Debicella,2,0,0
Fairfield,Bridgeport 126-4 Read,U.S. House,4,UNK,Dan Debicella,1,0,0
Fairfield,Bridgeport 126-4 Read,U.S. House,4,DEM,Jim Himes,216,5,2
Fairfield,Bridgeport 126-4 Read,U.S. House,4,WF,Jim Himes,17,0,0
Fairfield,Bridgeport 126-4 Read,U.S. House,4,UNK,Jim Himes,31,0,1
Fairfield,Bridgeport 126-4 Read,State Senate,23,DEM,Andres Ayala,207,6,1
Fairfield,Bridgeport 126-4 Read,State Senate,23,WF,Andres Ayala,19,0,1
Fairfield,Bridgeport 126-4 Read,State Senate,23,UNK,Andres Ayala,25,0,0
Fairfield,Bridgeport 126-4 Read,State Assembly,126,DEM,Charlie Stallworth,254,5,3
Fairfield,Bridgeport 126-4 Read,Secretary of State,,REP,Peter Lumaj,52,2,1
Fairfield,Bridgeport 126-4 Read,Secretary of State,,IND,Peter Lumaj,5,0,0
Fairfield,Bridgeport 126-4 Read,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 126-4 Read,Secretary of State,,DEM,Denise Merrill,208,5,2
Fairfield,Bridgeport 126-4 Read,Secretary of State,,WF,Denise Merrill,18,0,1
Fairfield,Bridgeport 126-4 Read,Secretary of State,,UNK,Denise Merrill,17,0,0
Fairfield,Bridgeport 126-4 Read,Secretary of State,,Green,Michael DeRosa,5,0,0
Fairfield,Bridgeport 126-4 Read,State Treasurer,,REP,Tim Herbst,60,2,1
Fairfield,Bridgeport 126-4 Read,State Treasurer,,IND,Tim Herbst,4,0,0
Fairfield,Bridgeport 126-4 Read,State Treasurer,,UNK,Tim Herbst,0,0,3
Fairfield,Bridgeport 126-4 Read,State Treasurer,,DEM,Denise Nappier,208,5,3
Fairfield,Bridgeport 126-4 Read,State Treasurer,,WF,Denise Nappier,14,0,0
Fairfield,Bridgeport 126-4 Read,State Treasurer,,UNK,Denise Nappier,25,0,0
Fairfield,Bridgeport 126-4 Read,Comptroller,,REP,Sharon McLaughlin,59,2,1
Fairfield,Bridgeport 126-4 Read,Comptroller,,IND,Sharon McLaughlin,8,0,0
Fairfield,Bridgeport 126-4 Read,Comptroller,,UNK,Sharon McLaughlin,2,0,0
Fairfield,Bridgeport 126-4 Read,Comptroller,,DEM,Kevin Lembo,211,5,3
Fairfield,Bridgeport 126-4 Read,Comptroller,,WF,Kevin Lembo,12,0,0
Fairfield,Bridgeport 126-4 Read,Comptroller,,IND,Kevin Lembo,17,0,0
Fairfield,Bridgeport 126-4 Read,Comptroller,,Green,Rolf Maurer,0,0,0
Fairfield,Bridgeport 126-4 Read,Attorney General,,REP,Kie Westby,48,0,1
Fairfield,Bridgeport 126-4 Read,Attorney General,,IND,Kie Westby,6,0,0
Fairfield,Bridgeport 126-4 Read,Attorney General,,UNK,Kie Westby,1,0,0
Fairfield,Bridgeport 126-4 Read,Attorney General,,DEM,George Jepsen,212,7,2
Fairfield,Bridgeport 126-4 Read,Attorney General,,WF,George Jepsen,12,0,1
Fairfield,Bridgeport 126-4 Read,Attorney General,,UNK,George Jepsen,17,0,0
Fairfield,Bridgeport 126-4 Read,Attorney General,,Green,Stephen Fournier,5,0,0
Fairfield,Bridgeport 126-5 Hooker,Governor,,REP,Thomas C. Foley,269,12,3
Fairfield,Bridgeport 126-5 Hooker,Governor,,IND,Thomas C. Foley,16,1,0
Fairfield,Bridgeport 126-5 Hooker,Governor,,UNK,Thomas C. Foley,9,0,0
Fairfield,Bridgeport 126-5 Hooker,Governor,,DEM,Dannel P. Malloy,780,14,9
Fairfield,Bridgeport 126-5 Hooker,Governor,,WF,Dannel P. Malloy,49,0,0
Fairfield,Bridgeport 126-5 Hooker,Governor,,UNK,Dannel P. Malloy,64,2,2
Fairfield,Bridgeport 126-5 Hooker,Governor,,PC,Joe Visconti,5,0,0
Fairfield,Bridgeport 126-5 Hooker,Governor,,write-in,Jonathan Pelto,3,0,0
Fairfield,Bridgeport 126-5 Hooker,U.S. House,4,REP,Dan Debicella,222,9,3
Fairfield,Bridgeport 126-5 Hooker,U.S. House,4,IND,Dan Debicella,27,0,0
Fairfield,Bridgeport 126-5 Hooker,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 126-5 Hooker,U.S. House,4,DEM,Jim Himes,798,15,9
Fairfield,Bridgeport 126-5 Hooker,U.S. House,4,WF,Jim Himes,57,1,0
Fairfield,Bridgeport 126-5 Hooker,U.S. House,4,UNK,Jim Himes,45,1,2
Fairfield,Bridgeport 126-5 Hooker,State Senate,23,DEM,Andres Ayala,771,18,7
Fairfield,Bridgeport 126-5 Hooker,State Senate,23,WF,Andres Ayala,92,0,1
Fairfield,Bridgeport 126-5 Hooker,State Senate,23,UNK,Andres Ayala,52,1,2
Fairfield,Bridgeport 126-5 Hooker,State Assembly,126,DEM,Charlie Stallworth,867,17,9
Fairfield,Bridgeport 126-5 Hooker,Secretary of State,,REP,Peter Lumaj,218,9,3
Fairfield,Bridgeport 126-5 Hooker,Secretary of State,,IND,Peter Lumaj,25,0,0
Fairfield,Bridgeport 126-5 Hooker,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 126-5 Hooker,Secretary of State,,DEM,Denise Merrill,741,15,6
Fairfield,Bridgeport 126-5 Hooker,Secretary of State,,WF,Denise Merrill,62,1,0
Fairfield,Bridgeport 126-5 Hooker,Secretary of State,,UNK,Denise Merrill,33,0,2
Fairfield,Bridgeport 126-5 Hooker,Secretary of State,,Green,Michael DeRosa,21,0,0
Fairfield,Bridgeport 126-5 Hooker,State Treasurer,,REP,Tim Herbst,232,9,3
Fairfield,Bridgeport 126-5 Hooker,State Treasurer,,IND,Tim Herbst,28,0,0
Fairfield,Bridgeport 126-5 Hooker,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 126-5 Hooker,State Treasurer,,DEM,Denise Nappier,753,14,6
Fairfield,Bridgeport 126-5 Hooker,State Treasurer,,WF,Denise Nappier,64,1,0
Fairfield,Bridgeport 126-5 Hooker,State Treasurer,,UNK,Denise Nappier,30,0,2
Fairfield,Bridgeport 126-5 Hooker,Comptroller,,REP,Sharon McLaughlin,210,9,3
Fairfield,Bridgeport 126-5 Hooker,Comptroller,,IND,Sharon McLaughlin,26,0,0
Fairfield,Bridgeport 126-5 Hooker,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 126-5 Hooker,Comptroller,,DEM,Kevin Lembo,753,14,5
Fairfield,Bridgeport 126-5 Hooker,Comptroller,,WF,Kevin Lembo,58,1,0
Fairfield,Bridgeport 126-5 Hooker,Comptroller,,IND,Kevin Lembo,26,0,2
Fairfield,Bridgeport 126-5 Hooker,Comptroller,,Green,Rolf Maurer,13,0,0
Fairfield,Bridgeport 126-5 Hooker,Attorney General,,REP,Kie Westby,186,9,3
Fairfield,Bridgeport 126-5 Hooker,Attorney General,,IND,Kie Westby,22,0,0
Fairfield,Bridgeport 126-5 Hooker,Attorney General,,UNK,Kie Westby,1,0,0
Fairfield,Bridgeport 126-5 Hooker,Attorney General,,DEM,George Jepsen,771,15,4
Fairfield,Bridgeport 126-5 Hooker,Attorney General,,WF,George Jepsen,69,1,0
Fairfield,Bridgeport 126-5 Hooker,Attorney General,,UNK,George Jepsen,28,0,2
Fairfield,Bridgeport 126-5 Hooker,Attorney General,,Green,Stephen Fournier,13,0,0
Fairfield,Bridgeport 126-6 Cross,Governor,,REP,Thomas C. Foley,83,4,1
Fairfield,Bridgeport 126-6 Cross,Governor,,IND,Thomas C. Foley,10,0,0
Fairfield,Bridgeport 126-6 Cross,Governor,,UNK,Thomas C. Foley,2,3,0
Fairfield,Bridgeport 126-6 Cross,Governor,,DEM,Dannel P. Malloy,837,31,6
Fairfield,Bridgeport 126-6 Cross,Governor,,WF,Dannel P. Malloy,94,1,2
Fairfield,Bridgeport 126-6 Cross,Governor,,UNK,Dannel P. Malloy,122,1,0
Fairfield,Bridgeport 126-6 Cross,Governor,,PC,Joe Visconti,1,0,0
Fairfield,Bridgeport 126-6 Cross,U.S. House,4,REP,Dan Debicella,62,1,1
Fairfield,Bridgeport 126-6 Cross,U.S. House,4,IND,Dan Debicella,3,0,0
Fairfield,Bridgeport 126-6 Cross,U.S. House,4,UNK,Dan Debicella,4,0,0
Fairfield,Bridgeport 126-6 Cross,U.S. House,4,DEM,Jim Himes,848,32,6
Fairfield,Bridgeport 126-6 Cross,U.S. House,4,WF,Jim Himes,98,1,1
Fairfield,Bridgeport 126-6 Cross,U.S. House,4,UNK,Jim Himes,78,4,0
Fairfield,Bridgeport 126-6 Cross,State Senate,22,REP,Enrico Costatini,78,2,1
Fairfield,Bridgeport 126-6 Cross,State Senate,22,DEM,Marilyn Moore,823,31,5
Fairfield,Bridgeport 126-6 Cross,State Senate,22,WF,Marilyn Moore,116,1,1
Fairfield,Bridgeport 126-6 Cross,State Senate,22,UNK,Marilyn Moore,86,4,0
Fairfield,Bridgeport 126-6 Cross,State Assembly,126,DEM,Charlie Stallworth,913,30,5
Fairfield,Bridgeport 126-6 Cross,Secretary of State,,REP,Peter Lumaj,61,2,1
Fairfield,Bridgeport 126-6 Cross,Secretary of State,,IND,Peter Lumaj,6,0,0
Fairfield,Bridgeport 126-6 Cross,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 126-6 Cross,Secretary of State,,DEM,Denise Merrill,816,29,4
Fairfield,Bridgeport 126-6 Cross,Secretary of State,,WF,Denise Merrill,96,1,1
Fairfield,Bridgeport 126-6 Cross,Secretary of State,,UNK,Denise Merrill,46,1,0
Fairfield,Bridgeport 126-6 Cross,Secretary of State,,Green,Michael DeRosa,9,0,1
Fairfield,Bridgeport 126-6 Cross,State Treasurer,,REP,Tim Herbst,61,1,1
Fairfield,Bridgeport 126-6 Cross,State Treasurer,,IND,Tim Herbst,10,0,1
Fairfield,Bridgeport 126-6 Cross,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 126-6 Cross,State Treasurer,,DEM,Denise Nappier,836,29,4
Fairfield,Bridgeport 126-6 Cross,State Treasurer,,WF,Denise Nappier,98,1,1
Fairfield,Bridgeport 126-6 Cross,State Treasurer,,UNK,Denise Nappier,58,1,0
Fairfield,Bridgeport 126-6 Cross,Comptroller,,REP,Sharon McLaughlin,64,1,1
Fairfield,Bridgeport 126-6 Cross,Comptroller,,IND,Sharon McLaughlin,6,0,0
Fairfield,Bridgeport 126-6 Cross,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 126-6 Cross,Comptroller,,DEM,Kevin Lembo,802,29,4
Fairfield,Bridgeport 126-6 Cross,Comptroller,,WF,Kevin Lembo,98,1,1
Fairfield,Bridgeport 126-6 Cross,Comptroller,,IND,Kevin Lembo,43,1,0
Fairfield,Bridgeport 126-6 Cross,Comptroller,,Green,Rolf Maurer,5,0,1
Fairfield,Bridgeport 126-6 Cross,Attorney General,,REP,Kie Westby,58,1,1
Fairfield,Bridgeport 126-6 Cross,Attorney General,,IND,Kie Westby,6,0,0
Fairfield,Bridgeport 126-6 Cross,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 126-6 Cross,Attorney General,,DEM,George Jepsen,814,30,4
Fairfield,Bridgeport 126-6 Cross,Attorney General,,WF,George Jepsen,92,1,1
Fairfield,Bridgeport 126-6 Cross,Attorney General,,UNK,George Jepsen,44,1,0
Fairfield,Bridgeport 126-6 Cross,Attorney General,,Green,Stephen Fournier,5,0,1
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,REP,Thomas C. Foley,598,41,5
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,IND,Thomas C. Foley,18,2,1
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,UNK,Thomas C. Foley,18,0,0
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,DEM,Dannel P. Malloy,1266,89,20
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,WF,Dannel P. Malloy,162,2,3
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,UNK,Dannel P. Malloy,140,0,1
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,PC,Joe Visconti,11,2,0
Fairfield,Bridgeport 127-1 Blackhorn,Governor,,write-in,Jonathan Pelto,3,0,0
Fairfield,Bridgeport 127-1 Blackhorn,U.S. House,4,REP,Dan Debicella,532,38,5
Fairfield,Bridgeport 127-1 Blackhorn,U.S. House,4,IND,Dan Debicella,24,1,1
Fairfield,Bridgeport 127-1 Blackhorn,U.S. House,4,UNK,Dan Debicella,4,0,0
Fairfield,Bridgeport 127-1 Blackhorn,U.S. House,4,DEM,Jim Himes,1309,92,19
Fairfield,Bridgeport 127-1 Blackhorn,U.S. House,4,WF,Jim Himes,172,1,3
Fairfield,Bridgeport 127-1 Blackhorn,U.S. House,4,UNK,Jim Himes,113,1,0
Fairfield,Bridgeport 127-1 Blackhorn,State Senate,22,REP,Enrico Costatini,583,39,6
Fairfield,Bridgeport 127-1 Blackhorn,State Senate,22,DEM,Marilyn Moore,1260,88,20
Fairfield,Bridgeport 127-1 Blackhorn,State Senate,22,WF,Marilyn Moore,183,2,2
Fairfield,Bridgeport 127-1 Blackhorn,State Senate,22,UNK,Marilyn Moore,98,0,0
Fairfield,Bridgeport 127-1 Blackhorn,State Assembly,127,DEM,Jack Hennessey,1404,99,18
