county,precinct,office,district,party,,poll,abs,edr,unknown,
Fairfield,Danbury 1-109,Governor,,REP,Thomas C. Foley,45,0,0,0,
Fairfield,Danbury 1-109,Governor,,IND,Thomas C. Foley,8,0,0,0,
Fairfield,Danbury 1-109,Governor,,DEM,Dannel P. Malloy,93,0,0,5,
Fairfield,Danbury 1-109,Governor,,WF,Dannel P. Malloy,11,0,0,0,
Fairfield,Danbury 1-109,Governor,,PC,Joe Visconti,1,0,0,0,
Fairfield,Danbury 1-109,Governor,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,REP,Mark Greenberg,41,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,IND,Mark Greenberg,3,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,DEM,Elizabeth Esty,100,0,0,4,
Fairfield,Danbury 1-109,U.S. House,5,WF,Elizabeth Esty,10,0,0,0,
Fairfield,Danbury 1-109,U.S. House,5,write-in,John Pistone,0,0,0,0,
Fairfield,Danbury 1-109,State Senate,24,REP,Michael McLachlan,54,0,0,2,
Fairfield,Danbury 1-109,State Senate,24,WF,Theodore Feng,28,0,0,0,
Fairfield,Danbury 1-109,State Senate,24,IND,Michael McLachlan,11,0,0,0,
Fairfield,Danbury 1-109,State Assembly,109,REP,Josh Stanley,35,0,0,0,
Fairfield,Danbury 1-109,State Assembly,109,DEM,David Arconti,99,0,0,6,
Fairfield,Danbury 1-109,State Assembly,109,WF,David Arconti,11,0,0,0,
Fairfield,Danbury 1-109,State Assembly,109,IND,Josh Stanley,7,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,REP,Peter Lumaj,45,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,IND,Peter Lumaj,1,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,DEM,Denise Merrill,83,0,0,4,
Fairfield,Danbury 1-109,Secretary of State,,WF,Denise Merrill,12,0,0,0,
Fairfield,Danbury 1-109,Secretary of State,,Green,Michael DeRosa,5,0,0,0,
Fairfield,Danbury 1-109,State Treasurer,,REP,Tim Herbst,44,0,0,0,
Fairfield,Danbury 1-109,State Treasurer,,IND,Tim Herbst,4,0,0,0,
Fairfield,Danbury 1-109,State Treasurer,,DEM,Denise Nappier,92,0,0,4,
Fairfield,Danbury 1-109,State Treasurer,,WF,Denise Nappier,11,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,REP,Sharon McLaughlin,46,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,IND,Sharon McLaughlin,3,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,DEM,Kevin Lembo,83,0,0,4,
Fairfield,Danbury 1-109,Comptroller,,WF,Kevin Lembo,11,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,Green,Rolf Maurer,4,0,0,0,
Fairfield,Danbury 1-109,Comptroller,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,REP,Kie Westby,42,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,IND,Kie Westby,3,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,DEM,George Jepsen,89,4,0,0,
Fairfield,Danbury 1-109,Attorney General,,WF,George Jepsen,10,0,0,0,
Fairfield,Danbury 1-109,Attorney General,,Green,Stephen Fournier,4,0,0,0,
Fairfield,Danbury 1-110,Governor,,REP,Thomas C. Foley,25,0,0,0,
Fairfield,Danbury 1-110,Governor,,IND,Thomas C. Foley,1,0,0,0,
Fairfield,Danbury 1-110,Governor,,DEM,Dannel P. Malloy,35,0,0,4,
Fairfield,Danbury 1-110,Governor,,WF,Dannel P. Malloy,4,0,0,0,
Fairfield,Danbury 1-110,Governor,,PC,Joe Visconti,1,0,0,0,
Fairfield,Danbury 1-110,Governor,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,REP,Mark Greenberg,27,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,IND,Mark Greenberg,1,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,DEM,Elizabeth Esty,34,0,0,3,
Fairfield,Danbury 1-110,U.S. House,5,WF,Elizabeth Esty,5,0,0,0,
Fairfield,Danbury 1-110,U.S. House,5,write-in,John Pistone,0,0,0,0,
Fairfield,Danbury 1-110,State Senate,24,REP,Michael McLachlan,36,0,0,0,
Fairfield,Danbury 1-110,State Senate,24,WF,Theodore Feng,9,0,0,0,
Fairfield,Danbury 1-110,State Senate,24,IND,Michael McLachlan,7,0,0,0,
Fairfield,Danbury 1-110,State Assembly,110,REP,Frank Goncalves,27,0,0,0,
Fairfield,Danbury 1-110,State Assembly,110,DEM,Bob Godfrey,37,0,0,3,
Fairfield,Danbury 1-110,State Assembly,110,WF,Bob Godfrey,5,0,0,0,
Fairfield,Danbury 1-110,Secretary of State,,REP,Peter Lumaj,26,0,0,0,
Fairfield,Danbury 1-110,Secretary of State,,IND,Peter Lumaj,1,0,0,0,
Fairfield,Danbury 1-110,Secretary of State,,DEM,Denise Merrill,32,0,0,0,
Fairfield,Danbury 1-110,Secretary of State,,WF,Denise Merrill,7,0,0,0,
Fairfield,Danbury 1-110,Secretary of State,,Green,Michael DeRosa,1,0,0,0,
Fairfield,Danbury 1-110,State Treasurer,,REP,Tim Herbst,27,0,0,0,
Fairfield,Danbury 1-110,State Treasurer,,IND,Tim Herbst,2,0,0,0,
Fairfield,Danbury 1-110,State Treasurer,,DEM,Denise Nappier,31,0,0,3,
Fairfield,Danbury 1-110,State Treasurer,,WF,Denise Nappier,7,0,0,0,
Fairfield,Danbury 1-110,Comptroller,,REP,Sharon McLaughlin,26,0,0,0,
Fairfield,Danbury 1-110,Comptroller,,IND,Sharon McLaughlin,2,0,0,0,
Fairfield,Danbury 1-110,Comptroller,,DEM,Kevin Lembo,31,0,0,2,
Fairfield,Danbury 1-110,Comptroller,,WF,Kevin Lembo,6,0,0,0,
Fairfield,Danbury 1-110,Comptroller,,Green,Rolf Maurer,1,0,0,0,
Fairfield,Danbury 1-110,Attorney General,,REP,Kie Westby,23,0,0,0,
Fairfield,Danbury 1-110,Attorney General,,IND,Kie Westby,2,0,0,0,
Fairfield,Danbury 1-110,Attorney General,,DEM,George Jepsen,33,0,0,3,
Fairfield,Danbury 1-110,Attorney General,,WF,George Jepsen,5,0,0,0,
Fairfield,Danbury 1-110,Attorney General,,Green,Stephen Fournier,3,0,0,0,
Fairfield,Danbury 1-138,Governor,,REP,Thomas C. Foley,1249,56,3,5,
Fairfield,Danbury 1-138,Governor,,IND,Thomas C. Foley,71,4,1,0,
Fairfield,Danbury 1-138,Governor,,DEM,Dannel P. Malloy,954,53,7,24,
Fairfield,Danbury 1-138,Governor,,WF,Dannel P. Malloy,44,1,1,0,
Fairfield,Danbury 1-138,Governor,,PC,Joe Visconti,20,0,0,0,
Fairfield,Danbury 1-138,Governor,,write-in,write-in,9,0,0,0,
Fairfield,Danbury 1-138,U.S. House,5,REP,Mark Greenberg,1061,54,3,2,
Fairfield,Danbury 1-138,U.S. House,5,IND,Mark Greenberg,73,5,1,0,
Fairfield,Danbury 1-138,U.S. House,5,DEM,Elizabeth Esty,1079,53,6,20,
Fairfield,Danbury 1-138,U.S. House,5,WF,Elizabeth Esty,64,0,5,0,
Fairfield,Danbury 1-138,U.S. House,5,write-in,John Pistone,13,1,0,0,
Fairfield,Danbury 1-138,U.S. House,5,write-in,write-in,1,0,0,0,
Fairfield,Danbury 1-138,State Senate,24,REP,Michael McLachlan,1428,71,6,7,
Fairfield,Danbury 1-138,State Senate,24,WF,Theodore Feng,244,15,3,0,
Fairfield,Danbury 1-138,State Senate,24,IND,Michael McLachlan,192,8,2,0,
Fairfield,Danbury 1-138,State Assembly,138,REP,Janice Geigler,1368,70,3,0,
Fairfield,Danbury 1-138,State Assembly,138,DEM,Henry Hall,768,38,7,0,
Fairfield,Danbury 1-138,State Assembly,138,WF,Janice Geigler,152,5,2,0,
Fairfield,Danbury 1-138,Secretary of State,,REP,Peter Lumaj,1137,55,3,0,
Fairfield,Danbury 1-138,Secretary of State,,IND,Peter Lumaj,94,3,1,0,
Fairfield,Danbury 1-138,Secretary of State,,DEM,Denise Merrill,900,51,6,6,
Fairfield,Danbury 1-138,Secretary of State,,WF,Denise Merrill,64,2,1,0,
Fairfield,Danbury 1-138,Secretary of State,,Green,Michael DeRosa,46,1,0,0,
Fairfield,Danbury 1-138,State Treasurer,,REP,Tim Herbst,1147,59,5,1,
Fairfield,Danbury 1-138,State Treasurer,,IND,Tim Herbst,95,4,1,0,
Fairfield,Danbury 1-138,State Treasurer,,DEM,Denise Nappier,932,50,5,10,
Fairfield,Danbury 1-138,State Treasurer,,WF,Denise Nappier,64,1,1,0,
Fairfield,Danbury 1-138,Comptroller,,REP,Sharon McLaughlin,1177,58,4,1,
Fairfield,Danbury 1-138,Comptroller,,IND,Sharon McLaughlin,95,3,1,0,
Fairfield,Danbury 1-138,Comptroller,,DEM,Kevin Lembo,866,48,5,8,
Fairfield,Danbury 1-138,Comptroller,,WF,Kevin Lembo,50,1,1,0,
Fairfield,Danbury 1-138,Comptroller,,Green,Rolf Maurer,32,1,0,0,
Fairfield,Danbury 1-138,Attorney General,,REP,Kie Westby,1093,54,3,0,
Fairfield,Danbury 1-138,Attorney General,,IND,Kie Westby,80,4,1,0,
Fairfield,Danbury 1-138,Attorney General,,DEM,George Jepsen,951,53,6,6,
Fairfield,Danbury 1-138,Attorney General,,WF,George Jepsen,63,2,1,0,
Fairfield,Danbury 1-138,Attorney General,,Green,Stephen Fournier,45,1,0,0,
Fairfield,Danbury 2-108,Governor,,REP,Thomas C. Foley,233,0,1,2,
Fairfield,Danbury 2-108,Governor,,IND,Thomas C. Foley,23,0,0,0,
Fairfield,Danbury 2-108,Governor,,DEM,Dannel P. Malloy,228,0,5,3,
Fairfield,Danbury 2-108,Governor,,WF,Dannel P. Malloy,10,0,0,0,
Fairfield,Danbury 2-108,Governor,,PC,Joe Visconti,0,0,0,0,
Fairfield,Danbury 2-108,U.S. House,5,REP,Mark Greenberg,188,0,1,2,
Fairfield,Danbury 2-108,U.S. House,5,IND,Mark Greenberg,18,0,0,0,
Fairfield,Danbury 2-108,U.S. House,5,DEM,Elizabeth Esty,259,0,4,2,
Fairfield,Danbury 2-108,U.S. House,5,WF,Elizabeth Esty,19,0,0,0,
Fairfield,Danbury 2-108,U.S. House,5,write-in,John Pistone,3,0,0,0,
Fairfield,Danbury 2-108,State Senate,24,REP,Michael McLachlan,274,0,2,2,
Fairfield,Danbury 2-108,State Senate,24,WF,Theodore Feng,0,0,1,0,
Fairfield,Danbury 2-108,State Senate,24,IND,Michael McLachlan,58,0,0,0,
Fairfield,Danbury 2-108,State Senate,24,write-in,write-in,1,0,0,0,
Fairfield,Danbury 2-108,State Assembly,108,REP,Richard Smith,322,0,3,0,
Fairfield,Danbury 2-108,State Assembly,108,write-in,write-in,6,0,0,0,
Fairfield,Danbury 2-108,Secretary of State,,REP,Peter Lumaj,204,0,1,1,
Fairfield,Danbury 2-108,Secretary of State,,IND,Peter Lumaj,26,0,0,0,
Fairfield,Danbury 2-108,Secretary of State,,DEM,Denise Merrill,220,0,3,1,
Fairfield,Danbury 2-108,Secretary of State,,WF,Denise Merrill,18,0,0,0,
Fairfield,Danbury 2-108,Secretary of State,,Green,Michael DeRosa,8,0,0,0,
Fairfield,Danbury 2-108,State Treasurer,,REP,Tim Herbst,200,0,1,1,
Fairfield,Danbury 2-108,State Treasurer,,IND,Tim Herbst,27,0,0,0,
Fairfield,Danbury 2-108,State Treasurer,,DEM,Denise Nappier,232,0,4,1,
Fairfield,Danbury 2-108,State Treasurer,,WF,Denise Nappier,20,0,0,0,
Fairfield,Danbury 2-108,Comptroller,,REP,Sharon McLaughlin,217,0,1,1,
Fairfield,Danbury 2-108,Comptroller,,IND,Sharon McLaughlin,29,0,0,0,
Fairfield,Danbury 2-108,Comptroller,,DEM,Kevin Lembo,203,0,2,2,
Fairfield,Danbury 2-108,Comptroller,,WF,Kevin Lembo,14,0,0,0,
Fairfield,Danbury 2-108,Comptroller,,Green,Rolf Maurer,4,0,0,0,
Fairfield,Danbury 2-108,Attorney General,,REP,Kie Westby,194,0,1,0,
Fairfield,Danbury 2-108,Attorney General,,IND,Kie Westby,18,0,0,0,
Fairfield,Danbury 2-108,Attorney General,,DEM,George Jepsen,220,0,3,0,
Fairfield,Danbury 2-108,Attorney General,,WF,George Jepsen,24,0,0,0,
Fairfield,Danbury 2-108,Attorney General,,Green,Stephen Fournier,0,0,0,0,
Fairfield,Danbury 2-109,Governor,,REP,Thomas C. Foley,386,22,6,1,
Fairfield,Danbury 2-109,Governor,,IND,Thomas C. Foley,24,3,0,0,
Fairfield,Danbury 2-109,Governor,,DEM,Dannel P. Malloy,423,42,13,19,
Fairfield,Danbury 2-109,Governor,,WF,Dannel P. Malloy,23,1,0,0,
Fairfield,Danbury 2-109,Governor,,PC,Joe Visconti,7,8,0,0,
Fairfield,Danbury 2-109,Governor,,write-in,write-in,4,0,0,0,
Fairfield,Danbury 2-109,U.S. House,5,REP,Mark Greenberg,321,19,5,0,
Fairfield,Danbury 2-109,U.S. House,5,IND,Mark Greenberg,22,2,0,0,
Fairfield,Danbury 2-109,U.S. House,5,DEM,Elizabeth Esty,476,40,8,11,
Fairfield,Danbury 2-109,U.S. House,5,WF,Elizabeth Esty,36,4,0,0,
Fairfield,Danbury 2-109,U.S. House,5,write-in,John Pistone,4,4,0,0,
Fairfield,Danbury 2-109,State Senate,24,REP,Michael McLachlan,464,39,7,2,
Fairfield,Danbury 2-109,State Senate,24,WF,Theodore Feng,86,9,3,0,
Fairfield,Danbury 2-109,State Senate,24,IND,Michael McLachlan,74,6,0,0,
Fairfield,Danbury 2-109,State Senate,24,write-in,write-in,1,0,0,0,
Fairfield,Danbury 2-109,State Assembly,109,REP,Josh Stanley,294,21,4,1,
Fairfield,Danbury 2-109,State Assembly,109,DEM,David Arconti,497,45,14,11,
Fairfield,Danbury 2-109,State Assembly,109,WF,David Arconti,42,3,0,0,
,Danbury 2-109,State Assembly,109,IND,Josh Stanley,26,2,0,0,
Fairfield,Danbury 2-109,Secretary of State,,REP,Peter Lumaj,332,19,7,0,
Fairfield,Danbury 2-109,Secretary of State,,IND,Peter Lumaj,29,1,0,0,
Fairfield,Danbury 2-109,Secretary of State,,DEM,Denise Merrill,411,42,11,8,
Fairfield,Danbury 2-109,Secretary of State,,WF,Denise Merrill,33,3,0,0,
Fairfield,Danbury 2-109,Secretary of State,,Green,Michael DeRosa,18,2,1,0,
Fairfield,Danbury 2-109,State Treasurer,,REP,Tim Herbst,332,21,6,0,
Fairfield,Danbury 2-109,State Treasurer,,IND,Tim Herbst,33,1,0,0,
Fairfield,Danbury 2-109,State Treasurer,,DEM,Denise Nappier,425,44,12,10,
Fairfield,Danbury 2-109,State Treasurer,,WF,Denise Nappier,33,3,0,0,
Fairfield,Danbury 2-109,Comptroller,,REP,Sharon McLaughlin,360,26,6,0,
Fairfield,Danbury 2-109,Comptroller,,IND,Sharon McLaughlin,29,2,0,0,
Fairfield,Danbury 2-109,Comptroller,,DEM,Kevin Lembo,386,36,8,8,
Fairfield,Danbury 2-109,Comptroller,,WF,Kevin Lembo,33,2,0,0,
Fairfield,Danbury 2-109,Comptroller,,Green,Rolf Maurer,7,1,1,0,
Fairfield,Danbury 2-109,Attorney General,,REP,Kie Westby,304,21,5,0,
Fairfield,Danbury 2-109,Attorney General,,IND,Kie Westby,24,1,0,0,
Fairfield,Danbury 2-109,Attorney General,,DEM,George Jepsen,444,41,13,9,
Fairfield,Danbury 2-109,Attorney General,,WF,George Jepsen,37,3,0,0,
Fairfield,Danbury 2-109,Attorney General,,Green,Stephen Fournier,13,3,1,0,
Fairfield,Danbury 2-138,Governor,,REP,Thomas C. Foley,484,17,1,2,
Fairfield,Danbury 2-138,Governor,,IND,Thomas C. Foley,18,1,1,0,
Fairfield,Danbury 2-138,Governor,,DEM,Dannel P. Malloy,398,3,2,2,
Fairfield,Danbury 2-138,Governor,,WF,Dannel P. Malloy,21,0,0,0,
Fairfield,Danbury 2-138,Governor,,PC,Joe Visconti,8,0,0,0,
Fairfield,Danbury 2-138,Governor,,write-in,write-in,3,0,0,0,
Fairfield,Danbury 2-138,U.S. House,5,REP,Mark Greenberg,415,15,1,2,
Fairfield,Danbury 2-138,U.S. House,5,IND,Mark Greenberg,18,1,0,0,
Fairfield,Danbury 2-138,U.S. House,5,DEM,Elizabeth Esty,443,5,3,3,
Fairfield,Danbury 2-138,U.S. House,5,WF,Elizabeth Esty,34,0,0,0,
Fairfield,Danbury 2-138,U.S. House,5,write-in,John Pistone,9,0,0,0,
Fairfield,Danbury 2-138,U.S. House,5,write-in,write-in,1,0,0,0,
Fairfield,Danbury 2-138,State Senate,24,REP,Michael McLachlan,544,18,2,2,
Fairfield,Danbury 2-138,State Senate,24,WF,Theodore Feng,120,1,0,0,
Fairfield,Danbury 2-138,State Senate,24,IND,Michael McLachlan,83,1,0,0,
Fairfield,Danbury 2-138,State Assembly,138,REP,Janice Geigler,544,17,2,1,
Fairfield,Danbury 2-138,State Assembly,138,DEM,Henry Hall,300,3,2,0,
Fairfield,Danbury 2-138,State Assembly,138,WF,Janice Geigler,50,1,0,0,
Fairfield,Danbury 2-138,State Assembly,138,write-in,write-in,1,0,0,0,
Fairfield,Danbury 2-138,Secretary of State,,REP,Peter Lumaj,437,15,2,1,
Fairfield,Danbury 2-138,Secretary of State,,IND,Peter Lumaj,29,1,0,0,
Fairfield,Danbury 2-138,Secretary of State,,DEM,Denise Merrill,367,4,2,0,
Fairfield,Danbury 2-138,Secretary of State,,WF,Denise Merrill,19,0,0,0,
Fairfield,Danbury 2-138,Secretary of State,,Green,Michael DeRosa,28,0,0,0,
Fairfield,Danbury 2-138,Secretary of State,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 2-138,State Treasurer,,REP,Tim Herbst,448,16,1,1,
Fairfield,Danbury 2-138,State Treasurer,,IND,Tim Herbst,32,1,0,0,
Fairfield,Danbury 2-138,State Treasurer,,DEM,Denise Nappier,379,4,3,0,
Fairfield,Danbury 2-138,State Treasurer,,WF,Denise Nappier,23,0,0,0,
Fairfield,Danbury 2-138,State Treasurer,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 2-138,Comptroller,,REP,Sharon McLaughlin,478,16,1,1,
Fairfield,Danbury 2-138,Comptroller,,IND,Sharon McLaughlin,29,1,0,0,
Fairfield,Danbury 2-138,Comptroller,,DEM,Kevin Lembo,331,3,3,0,
Fairfield,Danbury 2-138,Comptroller,,WF,Kevin Lembo,16,0,0,0,
Fairfield,Danbury 2-138,Comptroller,,Green,Rolf Maurer,14,0,0,0,
Fairfield,Danbury 2-138,Comptroller,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 2-138,Attorney General,,REP,Kie Westby,425,15,2,1,
Fairfield,Danbury 2-138,Attorney General,,IND,Kie Westby,28,1,0,0,
Fairfield,Danbury 2-138,Attorney General,,DEM,George Jepsen,383,5,2,0,
Fairfield,Danbury 2-138,Attorney General,,WF,George Jepsen,25,0,0,0,
Fairfield,Danbury 2-138,Attorney General,,Green,Stephen Fournier,15,0,0,0,
Fairfield,Danbury 2-138,Attorney General,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 3-107,Governor,,REP,Thomas C. Foley,168,5,0,3,
Fairfield,Danbury 3-107,Governor,,IND,Thomas C. Foley,6,0,0,0,
Fairfield,Danbury 3-107,Governor,,DEM,Dannel P. Malloy,125,4,1,6,
Fairfield,Danbury 3-107,Governor,,WF,Dannel P. Malloy,4,0,0,0,
Fairfield,Danbury 3-107,Governor,,PC,Joe Visconti,1,0,0,0,
Fairfield,Danbury 3-107,U.S. House,5,REP,Mark Greenberg,147,5,0,0,
Fairfield,Danbury 3-107,U.S. House,5,IND,Mark Greenberg,7,0,0,0,
Fairfield,Danbury 3-107,U.S. House,5,DEM,Elizabeth Esty,136,4,1,6,
Fairfield,Danbury 3-107,U.S. House,5,WF,Elizabeth Esty,8,0,0,0,
Fairfield,Danbury 3-107,U.S. House,5,write-in,John Pistone,2,0,0,0,
Fairfield,Danbury 3-107,State Senate,24,REP,Michael McLachlan,191,5,0,0,
Fairfield,Danbury 3-107,State Senate,24,WF,Theodore Feng,34,0,0,0,
Fairfield,Danbury 3-107,State Senate,24,IND,Michael McLachlan,23,0,0,0,
Fairfield,Danbury 3-107,State Assembly,107,REP,David Scribner,184,5,0,1,
Fairfield,Danbury 3-107,State Assembly,107,DEM,Dan Smolnik,88,4,1,1,
Fairfield,Danbury 3-107,State Assembly,107,WF,Dan Smolnik,4,0,0,0,
Fairfield,Danbury 3-107,State Assembly,107,IND,David Scribner,16,0,0,0,
Fairfield,Danbury 3-107,Secretary of State,,REP,Peter Lumaj,153,5,0,0,
Fairfield,Danbury 3-107,Secretary of State,,IND,Peter Lumaj,2,0,0,0,
Fairfield,Danbury 3-107,Secretary of State,,DEM,Denise Merrill,113,4,1,1,
Fairfield,Danbury 3-107,Secretary of State,,WF,Denise Merrill,9,0,0,0,
Fairfield,Danbury 3-107,Secretary of State,,Green,Michael DeRosa,9,0,0,0,
Fairfield,Danbury 3-107,State Treasurer,,REP,Tim Herbst,152,5,0,0,
Fairfield,Danbury 3-107,State Treasurer,,IND,Tim Herbst,7,0,0,0,
Fairfield,Danbury 3-107,State Treasurer,,DEM,Denise Nappier,121,4,1,1,
Fairfield,Danbury 3-107,State Treasurer,,WF,Denise Nappier,9,0,0,0,
Fairfield,Danbury 3-107,Comptroller,,REP,Sharon McLaughlin,159,5,0,0,
Fairfield,Danbury 3-107,Comptroller,,IND,Sharon McLaughlin,7,0,0,0,
Fairfield,Danbury 3-107,Comptroller,,DEM,Kevin Lembo,109,4,1,2,
Fairfield,Danbury 3-107,Comptroller,,WF,Kevin Lembo,8,0,0,0,
Fairfield,Danbury 3-107,Comptroller,,Green,Rolf Maurer,5,0,0,0,
Fairfield,Danbury 3-107,Attorney General,,REP,Kie Westby,148,5,0,0,
