County,Precinct,Office,District,Party,Candidate,Poll,Abs,Unknown
New London,Groton 1,Governor,,REP,Thomas C. Foley,501,65,3
New London,Groton 1,Governor,,IND,Thomas C. Foley,26,7,1
New London,Groton 1,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 1,Governor,,DEM,Dannel P. Malloy,646,77,33
New London,Groton 1,Governor,,WF,Dannel P. Malloy,27,4,1
New London,Groton 1,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 1,Governor,,PC,Joe Visconti,15,3,0
New London,Groton 1,Governor,,write-in,Jonathan Pelto,1,0,0
New London,Groton 1,U.S. House,2,REP,Lori Hopkins-Cavanagh,345,48,0
New London,Groton 1,U.S. House,2,DEM,Joe Courtney,780,92,26
New London,Groton 1,U.S. House,2,WF,Joe Courtney,52,9,2
New London,Groton 1,U.S. House,2,LBT,William Clyde,9,2,0
New London,Groton 1,U.S. House,2,Green,Daniel Reale,15,1,0
New London,Groton 1,State Senate,18,REP,Kevin Trejo,458,62,0
New London,Groton 1,State Senate,18,DEM,Andrew Maynard,717,89,0
New London,Groton 1,State Assembly,41,REP,Aundre Bumgardner,513,43,7
New London,Groton 1,State Assembly,41,DEM,Elissa Wright,619,50,0
New London,Groton 1,State Assembly,41,IND,Aundre Bumgardner,61,4,1
New London,Groton 1,Secretary of State,,REP,Peter Lumaj,460,57,1
New London,Groton 1,Secretary of State,,IND,Peter Lumaj,30,40,0
New London,Groton 1,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 1,Secretary of State,,DEM,Denise Merrill,618,73,8
New London,Groton 1,Secretary of State,,WF,Denise Merrill,33,2,1
New London,Groton 1,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 1,Secretary of State,,Green,Michael DeRosa,32,5,0
New London,Groton 1,State Treasurer,,REP,Tim Herbst,454,55,1
New London,Groton 1,State Treasurer,,IND,Tim Herbst,42,7,0
New London,Groton 1,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 1,State Treasurer,,DEM,Denise Nappier,641,81,10
New London,Groton 1,State Treasurer,,WF,Denise Nappier,36,5,1
New London,Groton 1,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 1,Comptroller,,REP,Sharon McLaughlin,444,61,1
New London,Groton 1,Comptroller,,IND,Sharon McLaughlin,36,8,1
New London,Groton 1,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton 1,Comptroller,,DEM,Kevin Lembo,610,69,8
New London,Groton 1,Comptroller,,WF,Kevin Lembo,34,5,1
New London,Groton 1,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton 1,Comptroller,,Green,Rolf Maurer,27,0,0
New London,Groton 1,Attorney General,,REP,Kie Westby,396,58,0
New London,Groton 1,Attorney General,,IND,Kie Westby,22,5,0
New London,Groton 1,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton 1,Attorney General,,DEM,George Jepsen,663,75,10
New London,Groton 1,Attorney General,,WF,George Jepsen,39,4,1
New London,Groton 1,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton 1,Attorney General,,Green,Stephen Fournier,43,2,0
New London,Groton 1,Voters,,,Registered,3018,0,0
New London,Groton 1,Voters,,,Votes cast,1262,85,0
New London,Groton 2,Governor,,REP,Thomas C. Foley,362,25,1
New London,Groton 2,Governor,,IND,Thomas C. Foley,24,1,0
New London,Groton 2,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 2,Governor,,DEM,Dannel P. Malloy,513,37,16
New London,Groton 2,Governor,,WF,Dannel P. Malloy,18,0,1
New London,Groton 2,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 2,Governor,,PC,Joe Visconti,14,0,0
New London,Groton 2,U.S. House,2,REP,Lori Hopkins-Cavanagh,345,48,0
New London,Groton 2,U.S. House,2,DEM,Joe Courtney,633,39,11
New London,Groton 2,U.S. House,2,WF,Joe Courtney,46,1,1
New London,Groton 2,U.S. House,2,LBT,William Clyde,14,2,0
New London,Groton 2,U.S. House,2,Green,Daniel Reale,6,2,0
New London,Groton 2,State Senate,18,REP,Kevin Trejo,323,20,0
New London,Groton 2,State Senate,18,DEM,Andrew Maynard,557,42,0
New London,Groton 2,State Assembly,41,REP,Aundre Bumgardner,421,24,2
New London,Groton 2,State Assembly,41,DEM,Elissa Wright,452,37,0
New London,Groton 2,State Assembly,41,IND,Aundre Bumgardner,50,1,1
New London,Groton 2,Secretary of State,,REP,Peter Lumaj,316,24,0
New London,Groton 2,Secretary of State,,IND,Peter Lumaj,36,0,0
New London,Groton 2,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 2,Secretary of State,,DEM,Denise Merrill,497,39,4
New London,Groton 2,Secretary of State,,WF,Denise Merrill,27,0,1
New London,Groton 2,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 2,Secretary of State,,Green,Michael DeRosa,26,2,0
New London,Groton 2,State Treasurer,,REP,Tim Herbst,327,25,0
New London,Groton 2,State Treasurer,,IND,Tim Herbst,34,0,0
New London,Groton 2,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 2,State Treasurer,,DEM,Denise Nappier,508,38,6
New London,Groton 2,State Treasurer,,WF,Denise Nappier,35,0,1
New London,Groton 2,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 2,Comptroller,,REP,Sharon McLaughlin,297,26,0
New London,Groton 2,Comptroller,,IND,Sharon McLaughlin,38,0,0
New London,Groton 2,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton 2,Comptroller,,DEM,Kevin Lembo,501,35,5
New London,Groton 2,Comptroller,,WF,Kevin Lembo,30,0,1
New London,Groton 2,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton 2,Comptroller,,Green,Rolf Maurer,18,0,0
New London,Groton 2,Attorney General,,REP,Kie Westby,267,24,0
New London,Groton 2,Attorney General,,IND,Kie Westby,29,0,0
New London,Groton 2,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton 2,Attorney General,,DEM,George Jepsen,540,37,5
New London,Groton 2,Attorney General,,WF,George Jepsen,28,0,1
New London,Groton 2,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton 2,Attorney General,,Green,Stephen Fournier,24,2,0
New London,Groton 2,Voters,,,Registered,2049,0,0
New London,Groton 2,Voters,,,Votes cast,957,53,0
New London,Groton 3,Governor,,REP,Thomas C. Foley,523,27,6
New London,Groton 3,Governor,,IND,Thomas C. Foley,33,1,1
New London,Groton 3,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 3,Governor,,DEM,Dannel P. Malloy,571,23,20
New London,Groton 3,Governor,,WF,Dannel P. Malloy,25,2,1
New London,Groton 3,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 3,Governor,,PC,Joe Visconti,21,4,0
New London,Groton 3,Governor,,write-in,Jonathan Pelto,1,0,0
New London,Groton 3,U.S. House,2,REP,Lori Hopkins-Cavanagh,355,19,0
New London,Groton 3,U.S. House,2,DEM,Joe Courtney,739,31,13
New London,Groton 3,U.S. House,2,WF,Joe Courtney,49,5,1
New London,Groton 3,U.S. House,2,LBT,William Clyde,11,2,0
New London,Groton 3,U.S. House,2,Green,Daniel Reale,14,2,0
New London,Groton 3,State Senate,18,REP,Kevin Trejo,470,25,0
New London,Groton 3,State Senate,18,DEM,Andrew Maynard,673,30,0
New London,Groton 3,State Assembly,40,REP,John Scott,616,54,0
New London,Groton 3,State Assembly,41,DEM,Edward Moukawsher,541,39,0
New London,Groton 3,Secretary of State,,REP,Peter Lumaj,466,27,2
New London,Groton 3,Secretary of State,,IND,Peter Lumaj,33,3,1
New London,Groton 3,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 3,Secretary of State,,DEM,Denise Merrill,561,24,7
New London,Groton 3,Secretary of State,,WF,Denise Merrill,40,3,1
New London,Groton 3,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 3,Secretary of State,,Green,Michael DeRosa,33,1,0
New London,Groton 3,State Treasurer,,REP,Tim Herbst,484,28,1
New London,Groton 3,State Treasurer,,IND,Tim Herbst,44,3,0
New London,Groton 3,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 3,State Treasurer,,DEM,Denise Nappier,578,23,7
New London,Groton 3,State Treasurer,,WF,Denise Nappier,37,3,1
New London,Groton 3,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 3,Comptroller,,REP,Sharon McLaughlin,471,23,0
New London,Groton 3,Comptroller,,IND,Sharon McLaughlin,39,3,0
New London,Groton 3,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton 3,Comptroller,,DEM,Kevin Lembo,568,23,5
New London,Groton 3,Comptroller,,WF,Kevin Lembo,30,2,1
New London,Groton 3,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton 3,Comptroller,,Green,Rolf Maurer,19,3,0
New London,Groton 3,Attorney General,,REP,Kie Westby,426,22,0
New London,Groton 3,Attorney General,,IND,Kie Westby,33,4,0
New London,Groton 3,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton 3,Attorney General,,DEM,George Jepsen,608,22,5
New London,Groton 3,Attorney General,,WF,George Jepsen,31,6,1
New London,Groton 3,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton 3,Attorney General,,Green,Stephen Fournier,36,1,0
New London,Groton 3,Voters,,,Registered,2506,0,0
New London,Groton 3,Voters,,,Votes cast,1210,39,0
New London,Groton 4,Governor,,REP,Thomas C. Foley,483,39,7
New London,Groton 4,Governor,,IND,Thomas C. Foley,27,2,1
New London,Groton 4,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 4,Governor,,DEM,Dannel P. Malloy,524,46,16
New London,Groton 4,Governor,,WF,Dannel P. Malloy,26,3,1
New London,Groton 4,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 4,Governor,,PC,Joe Visconti,11,3,0
New London,Groton 4,U.S. House,2,REP,Lori Hopkins-Cavanagh,372,32,0
New London,Groton 4,U.S. House,2,DEM,Joe Courtney,622,51,17
New London,Groton 4,U.S. House,2,WF,Joe Courtney,51,3,1
New London,Groton 4,U.S. House,2,LBT,William Clyde,10,4,0
New London,Groton 4,U.S. House,2,Green,Daniel Reale,13,2,0
New London,Groton 4,State Senate,18,REP,Kevin Trejo,438,44,0
New London,Groton 4,State Senate,18,DEM,Andrew Maynard,606,46,0
New London,Groton 4,State Assembly,40,REP,John Scott,595,43,0
New London,Groton 4,State Assembly,40,DEM,Edward Moukawsher,463,47,0
New London,Groton 4,Secretary of State,,REP,Peter Lumaj,465,37,1
New London,Groton 4,Secretary of State,,IND,Peter Lumaj,34,3,0
New London,Groton 4,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 4,Secretary of State,,DEM,Denise Merrill,497,44,5
New London,Groton 4,Secretary of State,,WF,Denise Merrill,36,2,1
New London,Groton 4,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 4,Secretary of State,,Green,Michael DeRosa,20,4,0
New London,Groton 4,State Treasurer,,REP,Tim Herbst,459,34,0
New London,Groton 4,State Treasurer,,IND,Tim Herbst,31,3,0
New London,Groton 4,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 4,State Treasurer,,DEM,Denise Nappier,511,49,8
New London,Groton 4,State Treasurer,,WF,Denise Nappier,39,5,1
New London,Groton 4,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 4,Comptroller,,REP,Sharon McLaughlin,457,35,0
New London,Groton 4,Comptroller,,IND,Sharon McLaughlin,33,3,0
New London,Groton 4,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton 4,Comptroller,,DEM,Kevin Lembo,481,45,5
New London,Groton 4,Comptroller,,WF,Kevin Lembo,28,2,1
New London,Groton 4,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton 4,Comptroller,,Green,Rolf Maurer,25,6,0
New London,Groton 4,Attorney General,,REP,Kie Westby,407,33,0
New London,Groton 4,Attorney General,,IND,Kie Westby,25,2,0
New London,Groton 4,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton 4,Attorney General,,DEM,George Jepsen,536,46,6
New London,Groton 4,Attorney General,,WF,George Jepsen,36,3,1
New London,Groton 4,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton 4,Attorney General,,Green,Stephen Fournier,34,6,0
New London,Groton 4,Voters,,,Registered,2539,0,0
New London,Groton 4,Voters,,,Votes cast,1104,72,0
New London,Groton 5,Governor,,REP,Thomas C. Foley,583,27,2
New London,Groton 5,Governor,,IND,Thomas C. Foley,34,3,1
New London,Groton 5,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 5,Governor,,DEM,Dannel P. Malloy,612,26,26
New London,Groton 5,Governor,,WF,Dannel P. Malloy,24,2,1
New London,Groton 5,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 5,Governor,,PC,Joe Visconti,12,1,0
New London,Groton 5,U.S. House,2,REP,Lori Hopkins-Cavanagh,404,16,0
New London,Groton 5,U.S. House,2,DEM,Joe Courtney,782,37,15
New London,Groton 5,U.S. House,2,WF,Joe Courtney,60,3,1
New London,Groton 5,U.S. House,2,LBT,William Clyde,4,2,0
New London,Groton 5,U.S. House,2,Green,Daniel Reale,12,0,0
New London,Groton 5,State Senate,18,REP,Kevin Trejo,489,21,0
New London,Groton 5,State Senate,18,DEM,Andrew Maynard,753,33,0
New London,Groton 5,State Assembly,40,REP,John Scott,717,25,0
New London,Groton 5,State Assembly,40,DEM,Edward Moukawsher,533,31,0
New London,Groton 5,Secretary of State,,REP,Peter Lumaj,567,25,0
New London,Groton 5,Secretary of State,,IND,Peter Lumaj,35,1,0
New London,Groton 5,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 5,Secretary of State,,DEM,Denise Merrill,591,27,12
New London,Groton 5,Secretary of State,,WF,Denise Merrill,24,1,1
New London,Groton 5,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 5,Secretary of State,,Green,Michael DeRosa,18,1,0
New London,Groton 5,State Treasurer,,REP,Tim Herbst,548,21,1
New London,Groton 5,State Treasurer,,IND,Tim Herbst,36,1,0
New London,Groton 5,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 5,State Treasurer,,DEM,Denise Nappier,617,31,11
New London,Groton 5,State Treasurer,,WF,Denise Nappier,34,2,1
New London,Groton 5,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 5,Comptroller,,REP,Sharon McLaughlin,531,25,0
New London,Groton 5,Comptroller,,IND,Sharon McLaughlin,35,1,0
New London,Groton 5,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton 5,Comptroller,,DEM,Kevin Lembo,606,25,10
New London,Groton 5,Comptroller,,WF,Kevin Lembo,26,1,1
New London,Groton 5,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton 5,Comptroller,,Green,Rolf Maurer,18,1,0
New London,Groton 5,Attorney General,,REP,Kie Westby,494,24,1
New London,Groton 5,Attorney General,,IND,Kie Westby,21,0,1
New London,Groton 5,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton 5,Attorney General,,DEM,George Jepsen,647,27,9
New London,Groton 5,Attorney General,,WF,George Jepsen,33,3,1
New London,Groton 5,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton 5,Attorney General,,Green,Stephen Fournier,26,1,0
New London,Groton 5,Voters,,,Registered,2481,0,0
New London,Groton 5,Voters,,,Votes cast,1305,41,0
New London,Groton 6,Governor,,REP,Thomas C. Foley,767,61,4
New London,Groton 6,Governor,,IND,Thomas C. Foley,29,3,1
New London,Groton 6,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 6,Governor,,DEM,Dannel P. Malloy,999,73,12
New London,Groton 6,Governor,,WF,Dannel P. Malloy,30,4,1
New London,Groton 6,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 6,Governor,,PC,Joe Visconti,16,2,0
New London,Groton 6,U.S. House,2,REP,Lori Hopkins-Cavanagh,519,46,0
New London,Groton 6,U.S. House,2,DEM,Joe Courtney,1213,90,8
New London,Groton 6,U.S. House,2,WF,Joe Courtney,55,3,1
New London,Groton 6,U.S. House,2,LBT,William Clyde,22,2,0
New London,Groton 6,U.S. House,2,Green,Daniel Reale,12,0,0
New London,Groton 6,State Senate,18,REP,Kevin Trejo,664,53,0
New London,Groton 6,State Senate,18,DEM,Andrew Maynard,1101,78,0
New London,Groton 6,State Assembly,41,REP,Aundre Bumgardner,815,63,3
New London,Groton 6,State Assembly,41,DEM,Elissa Wright,922,72,0
New London,Groton 6,State Assembly,41,IND,Aundre Bumgardner,70,4,1
New London,Groton 6,Secretary of State,,REP,Peter Lumaj,712,56,1
New London,Groton 6,Secretary of State,,IND,Peter Lumaj,36,1,0
New London,Groton 6,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 6,Secretary of State,,DEM,Denise Merrill,943,73,3
New London,Groton 6,Secretary of State,,WF,Denise Merrill,36,3,1
New London,Groton 6,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 6,Secretary of State,,Green,Michael DeRosa,40,5,0
New London,Groton 6,State Treasurer,,REP,Tim Herbst,751,56,1
New London,Groton 6,State Treasurer,,IND,Tim Herbst,50,4,0
New London,Groton 6,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 6,State Treasurer,,DEM,Denise Nappier,926,75,1
New London,Groton 6,State Treasurer,,WF,Denise Nappier,37,4,1
New London,Groton 6,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 6,Comptroller,,REP,Sharon McLaughlin,702,57,1
New London,Groton 6,Comptroller,,IND,Sharon McLaughlin,47,3,0
New London,Groton 6,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton 6,Comptroller,,DEM,Kevin Lembo,920,67,1
New London,Groton 6,Comptroller,,WF,Kevin Lembo,28,5,1
New London,Groton 6,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton 6,Comptroller,,Green,Rolf Maurer,37,5,0
New London,Groton 6,Attorney General,,REP,Kie Westby,630,46,1
New London,Groton 6,Attorney General,,IND,Kie Westby,32,2,0
New London,Groton 6,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton 6,Attorney General,,DEM,George Jepsen,1000,82,1
New London,Groton 6,Attorney General,,WF,George Jepsen,38,5,1
New London,Groton 6,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton 6,Attorney General,,Green,Stephen Fournier,42,4,0
New London,Groton 6,Voters,,,Registered,3238,0,0
New London,Groton 6,Voters,,,Votes cast,1872,129,0
New London,Groton 7,Governor,,REP,Thomas C. Foley,663,77,1
New London,Groton 7,Governor,,IND,Thomas C. Foley,23,3,0
New London,Groton 7,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 7,Governor,,DEM,Dannel P. Malloy,704,81,9
New London,Groton 7,Governor,,WF,Dannel P. Malloy,19,3,1
New London,Groton 7,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 7,Governor,,PC,Joe Visconti,5,5,0
New London,Groton 7,U.S. House,2,REP,Lori Hopkins-Cavanagh,445,56,0
New London,Groton 7,U.S. House,2,DEM,Joe Courtney,895,107,5
New London,Groton 7,U.S. House,2,WF,Joe Courtney,35,3,1
New London,Groton 7,U.S. House,2,LBT,William Clyde,15,0,0
New London,Groton 7,U.S. House,2,Green,Daniel Reale,10,4,0
New London,Groton 7,State Senate,18,REP,Kevin Trejo,556,68,0
New London,Groton 7,State Senate,18,DEM,Andrew Maynard,800,100,0
New London,Groton 7,State Assembly,41,REP,Aundre Bumgardner,678,77,3
New London,Groton 7,State Assembly,41,DEM,Elissa Wright,668,92,0
New London,Groton 7,State Assembly,41,IND,Aundre Bumgardner,53,1,1
New London,Groton 7,Secretary of State,,REP,Peter Lumaj,613,73,0
New London,Groton 7,Secretary of State,,IND,Peter Lumaj,22,6,0
New London,Groton 7,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 7,Secretary of State,,DEM,Denise Merrill,683,78,2
New London,Groton 7,Secretary of State,,WF,Denise Merrill,18,3,1
New London,Groton 7,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 7,Secretary of State,,Green,Michael DeRosa,21,2,0
New London,Groton 7,State Treasurer,,REP,Tim Herbst,633,77,0
New London,Groton 7,State Treasurer,,IND,Tim Herbst,35,5,0
New London,Groton 7,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 7,State Treasurer,,DEM,Denise Nappier,677,76,2
New London,Groton 7,State Treasurer,,WF,Denise Nappier,21,3,1
New London,Groton 7,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 7,Comptroller,,REP,Sharon McLaughlin,597,71,0
New London,Groton 7,Comptroller,,IND,Sharon McLaughlin,22,4,0
New London,Groton 7,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton 7,Comptroller,,DEM,Kevin Lembo,683,81,2
New London,Groton 7,Comptroller,,WF,Kevin Lembo,13,2,1
New London,Groton 7,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton 7,Comptroller,,Green,Rolf Maurer,20,2,0
New London,Groton 7,Attorney General,,REP,Kie Westby,548,67,0
New London,Groton 7,Attorney General,,IND,Kie Westby,19,4,0
New London,Groton 7,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton 7,Attorney General,,DEM,George Jepsen,748,85,1
New London,Groton 7,Attorney General,,WF,George Jepsen,19,2,1
New London,Groton 7,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton 7,Attorney General,,Green,Stephen Fournier,24,4,0
New London,Groton 7,Voters,,,Registered,2165,0,0
New London,Groton 7,Voters,,,Votes cast,1431,154,0
New London,Groton City CT,Governor,,REP,Thomas C. Foley,3882,321,24
New London,Groton City CT,Governor,,IND,Thomas C. Foley,196,20,5
New London,Groton City CT,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton City CT,Governor,,DEM,Dannel P. Malloy,4569,363,132
New London,Groton City CT,Governor,,WF,Dannel P. Malloy,169,18,7
New London,Groton City CT,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton City CT,Governor,,PC,Joe Visconti,94,18,0
New London,Groton City CT,Governor,,write-in,Jonathan Pelto,2,0,0
New London,Groton City CT,U.S. House,2,REP,Lori Hopkins-Cavanagh,2659,238,0
New London,Groton City CT,U.S. House,2,DEM,Joe Courtney,5664,447,95
New London,Groton City CT,U.S. House,2,WF,Joe Courtney,347,27,8
New London,Groton City CT,U.S. House,2,LBT,William Clyde,85,14,0
New London,Groton City CT,U.S. House,2,Green,Daniel Reale,82,11,0
New London,Groton City CT,State Senate,18,REP,Kevin Trejo,3398,293,0
New London,Groton City CT,State Senate,18,DEM,Andrew Maynard,5207,418,0
New London,Groton City CT,State Assembly,40,REP,John Scott,1928,122,0
New London,Groton City CT,State Assembly,40,DEM,Edward Moukawsher,1537,117,0
New London,Groton City CT,State Assembly,41,REP,Aundre Bumgardner,2427,207,15
New London,Groton City CT,State Assembly,41,DEM,Elissa Wright,2661,251,0
New London,Groton City CT,State Assembly,41,IND,Aundre Bumgardner,234,10,4
New London,Groton City CT,Secretary of State,,REP,Peter Lumaj,3599,299,5
New London,Groton City CT,Secretary of State,,IND,Peter Lumaj,226,18,1
New London,Groton City CT,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton City CT,Secretary of State,,DEM,Denise Merrill,4390,358,41
New London,Groton City CT,Secretary of State,,WF,Denise Merrill,214,14,7
New London,Groton City CT,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton City CT,Secretary of State,,Green,Michael DeRosa,190,20,0
New London,Groton City CT,State Treasurer,,REP,Tim Herbst,3656,296,4
New London,Groton City CT,State Treasurer,,IND,Tim Herbst,272,23,0
New London,Groton City CT,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton City CT,State Treasurer,,DEM,Denise Nappier,4456,373,45
New London,Groton City CT,State Treasurer,,WF,Denise Nappier,239,22,7
New London,Groton City CT,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton City CT,Comptroller,,REP,Sharon McLaughlin,3499,298,2
New London,Groton City CT,Comptroller,,IND,Sharon McLaughlin,250,22,1
New London,Groton City CT,Comptroller,,UNK,Sharon McLaughlin,0,0,0
New London,Groton City CT,Comptroller,,DEM,Kevin Lembo,4369,345,36
New London,Groton City CT,Comptroller,,WF,Kevin Lembo,189,17,7
New London,Groton City CT,Comptroller,,IND,Kevin Lembo,0,0,0
New London,Groton City CT,Comptroller,,Green,Rolf Maurer,164,17,0
New London,Groton City CT,Attorney General,,REP,Kie Westby,3168,274,2
New London,Groton City CT,Attorney General,,IND,Kie Westby,181,17,1
New London,Groton City CT,Attorney General,,UNK,Kie Westby,0,0,0
New London,Groton City CT,Attorney General,,DEM,George Jepsen,4742,374,37
New London,Groton City CT,Attorney General,,WF,George Jepsen,224,23,7
New London,Groton City CT,Attorney General,,UNK,George Jepsen,0,0,0
New London,Groton City CT,Attorney General,,Green,Stephen Fournier,229,20,0
New London,Groton City CT,Voters,,,Registered,17998,0,0
New London,Groton City CT,Voters,,,Votes cast,9344,573,0
