County,Precinct,Office,District,Party,Candidate,Poll,EDR,Abs
Hartford,Rocky Hill 1A - CC D2,Governor,,REP,Thomas C. Foley,852,21,38
Hartford,Rocky Hill 1A - CC D2,Governor,,IND,Thomas C. Foley,28,0,2
Hartford,Rocky Hill 1A - CC D2,Governor,,UNK,Thomas C. Foley,7,0,0
Hartford,Rocky Hill 1A - CC D2,Governor,,DEM,Dannel P. Malloy,1013,27,55
Hartford,Rocky Hill 1A - CC D2,Governor,,WF,Dannel P. Malloy,39,1,0
Hartford,Rocky Hill 1A - CC D2,Governor,,UNK,Dannel P. Malloy,38,1,1
Hartford,Rocky Hill 1A - CC D2,Governor,,PC,Joe Visconti,28,1,1
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,REP,Matthew Corey,692,15,33
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,DEM,John Larson,1129,29,60
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,WF,John Larson,67,1,3
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,UNK,John Larson,21,0,1
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,Green,Jeffery Russell,39,0,2
Hartford,Rocky Hill 1A - CC D2,State Senate,,REP,Earle Roberts,656,13,26
Hartford,Rocky Hill 1A - CC D2,State Senate,,DEM,Paul Doyle,1273,32,67
Hartford,Rocky Hill 1A - CC D2,State Assembly,,DEM,Tony Guerrera,1379,32,75
Hartford,Rocky Hill 1A - CC D2,State Assembly,,WF,Tony Guerrera,180,3,3
Hartford,Rocky Hill 1A - CC D2,State Assembly,,UNK,Tony Guerrera,19,1,1
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,REP,Peter Lumaj,742,18,30
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,IND,Peter Lumaj,53,1,4
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,UNK,Peter Lumaj,3,0,0
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,DEM,Denise Merrill,1009,25,59
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,WF,Denise Merrill,60,1,1
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,UNK,Denise Merrill,9,0,1
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,Green,Michael DeRosa,58,2,4
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,REP,Tim Herbst,862,16,32
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,IND,Tim Herbst,76,1,4
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,UNK,Tim Herbst,4,0,0
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,DEM,Denise Nappier,949,26,60
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,WF,Denise Nappier,49,2,0
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,UNK,Denise Nappier,11,0,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,REP,Sharon McLaughlin,696,14,35
Hartford,Rocky Hill 1A - CC D2,Comptroller,,IND,Sharon McLaughlin,48,0,2
Hartford,Rocky Hill 1A - CC D2,Comptroller,,UNK,Sharon McLaughlin,1,0,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,DEM,Kevin Lembo,1058,26,54
Hartford,Rocky Hill 1A - CC D2,Comptroller,,WF,Kevin Lembo,57,1,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,UNK,Kevin Lembo,8,0,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,Green,Rolf Maurer,35,2,2
Hartford,Rocky Hill 1A - CC D2,Attorney General,,REP,Kie Westby,645,12,29
Hartford,Rocky Hill 1A - CC D2,Attorney General,,IND,Kie Westby,36,0,1
Hartford,Rocky Hill 1A - CC D2,Attorney General,,UNK,Kie Westby,1,0,0
Hartford,Rocky Hill 1A - CC D2,Attorney General,,DEM,George Jepsen,1126,30,62
Hartford,Rocky Hill 1A - CC D2,Attorney General,,WF,George Jepsen,56,1,2
Hartford,Rocky Hill 1A - CC D2,Attorney General,,UNK,George Jepsen,9,0,1
Hartford,Rocky Hill 1A - CC D2,Attorney General,,Green,Stephen Fournier,48,2,6
Hartford,Rocky Hill 3B D3,Governor,,REP,Thomas C. Foley,745,11,36
Hartford,Rocky Hill 3B D3,Governor,,IND,Thomas C. Foley,33,0,1
Hartford,Rocky Hill 3B D3,Governor,,UNK,Thomas C. Foley,7,0,0
Hartford,Rocky Hill 3B D3,Governor,,DEM,Dannel P. Malloy,591,7,42
Hartford,Rocky Hill 3B D3,Governor,,WF,Dannel P. Malloy,31,0,0
Hartford,Rocky Hill 3B D3,Governor,,UNK,Dannel P. Malloy,25,0,0
Hartford,Rocky Hill 3B D3,Governor,,PC,Joe Visconti,17,1,2
Hartford,Rocky Hill 3B D3,U.S. House,1,REP,Matthew Corey,591,7,
Hartford,Rocky Hill 3B D3,U.S. House,1,DEM,John Larson,824,9,49
Hartford,Rocky Hill 3B D3,U.S. House,1,WF,John Larson,55,0,3
Hartford,Rocky Hill 3B D3,U.S. House,1,UNK,John Larson,11,0,0
Hartford,Rocky Hill 3B D3,U.S. House,1,Green,Jeffery Russell,20,2,1
Hartford,Rocky Hill 3B D3,State Senate,,REP,Earle Roberts,557,7,19
Hartford,Rocky Hill 3B D3,State Senate,,DEM,Paul Doyle,924,11,54
Hartford,Rocky Hill 3B D3,State Assembly,,DEM,Tony Guerrera,1034,12,55
Hartford,Rocky Hill 3B D3,State Assembly,,WF,Tony Guerrera,136,1,4
Hartford,Rocky Hill 3B D3,State Assembly,,UNK,Tony Guerrera,23,0,1
Hartford,Rocky Hill 3B D3,Secretary of State,,REP,Peter Lumaj,678,8,32
Hartford,Rocky Hill 3B D3,Secretary of State,,IND,Peter Lumaj,36,1,0
Hartford,Rocky Hill 3B D3,Secretary of State,,UNK,Peter Lumaj,4,0,0
Hartford,Rocky Hill 3B D3,Secretary of State,,DEM,Denise Merrill,676,8,42
Hartford,Rocky Hill 3B D3,Secretary of State,,WF,Denise Merrill,45,0,1
Hartford,Rocky Hill 3B D3,Secretary of State,,UNK,Denise Merrill,8,0,1
Hartford,Rocky Hill 3B D3,Secretary of State,,Green,Michael DeRosa,42,1,2
Hartford,Rocky Hill 3B D3,State Treasurer,,REP,Tim Herbst,741,8,36
Hartford,Rocky Hill 3B D3,State Treasurer,,IND,Tim Herbst,57,1,0
Hartford,Rocky Hill 3B D3,State Treasurer,,UNK,Tim Herbst,5,0,0
Hartford,Rocky Hill 3B D3,State Treasurer,,DEM,Denise Nappier,329,8,40
Hartford,Rocky Hill 3B D3,State Treasurer,,WF,Denise Nappier,48,0,2
Hartford,Rocky Hill 3B D3,State Treasurer,,UNK,Denise Nappier,11,0,1
Hartford,Rocky Hill 3B D3,Comptroller,,REP,Sharon McLaughlin,609,7,32
Hartford,Rocky Hill 3B D3,Comptroller,,IND,Sharon McLaughlin,35,1,0
Hartford,Rocky Hill 3B D3,Comptroller,,UNK,Sharon McLaughlin,1,0,0
Hartford,Rocky Hill 3B D3,Comptroller,,DEM,Kevin Lembo,740,9,41
Hartford,Rocky Hill 3B D3,Comptroller,,WF,Kevin Lembo,55,0,2
Hartford,Rocky Hill 3B D3,Comptroller,,UNK,Kevin Lembo,8,0,0
Hartford,Rocky Hill 3B D3,Comptroller,,Green,Rolf Maurer,24,1,2
Hartford,Rocky Hill 3B D3,Attorney General,,REP,Kie Westby,550,7,22
Hartford,Rocky Hill 3B D3,Attorney General,,IND,Kie Westby,20,0,0
Hartford,Rocky Hill 3B D3,Attorney General,,UNK,Kie Westby,1,0,0
Hartford,Rocky Hill 3B D3,Attorney General,,DEM,George Jepsen,803,9,51
Hartford,Rocky Hill 3B D3,Attorney General,,WF,George Jepsen,61,1,2
Hartford,Rocky Hill 3B D3,Attorney General,,UNK,George Jepsen,8,0,0
Hartford,Rocky Hill 3B D3,Attorney General,,Green,Stephen Fournier,32,1,1
Hartford,Rocky Hill 1A - WEST HILL D1,Governor,,REP,Thomas C. Foley,1532,18,77
Hartford,Rocky Hill 1A - WEST HILL D1,Governor,,IND,Thomas C. Foley,38,1,5
Hartford,Rocky Hill 1A - WEST HILL D1,Governor,,UNK,Thomas C. Foley,16,0,0
Hartford,Rocky Hill 1A - WEST HILL D1,Governor,,DEM,Dannel P. Malloy,1208,12,73
Hartford,Rocky Hill 1A - WEST HILL D1,Governor,,WF,Dannel P. Malloy,31,0,1
Hartford,Rocky Hill 1A - WEST HILL D1,Governor,,UNK,Dannel P. Malloy,32,0,2
Hartford,Rocky Hill 1A - WEST HILL D1,Governor,,PC,Joe Visconti,19,1,3
Hartford,Rocky Hill 1A - WEST HILL D1,U.S. House,1,REP,Matthew Corey,1215,16,62
Hartford,Rocky Hill 1A - WEST HILL D1,U.S. House,1,DEM,John Larson,1485,13,91
Hartford,Rocky Hill 1A - WEST HILL D1,U.S. House,1,WF,John Larson,64,0,4
Hartford,Rocky Hill 1A - WEST HILL D1,U.S. House,1,UNK,John Larson,14,0,1
Hartford,Rocky Hill 1A - WEST HILL D1,U.S. House,1,Green,Jeffery Russell,39,0,2
Hartford,Rocky Hill 1A - WEST HILL D1,State Senate,,REP,Earle Roberts,1128,16,33
Hartford,Rocky Hill 1A - WEST HILL D1,State Senate,,DEM,Paul Doyle,1654,13,104
Hartford,Rocky Hill 1A - WEST HILL D1,State Assembly,,DEM,Tony Guerrera,1899,18,106
Hartford,Rocky Hill 1A - WEST HILL D1,State Assembly,,WF,Tony Guerrera,200,4,10
Hartford,Rocky Hill 1A - WEST HILL D1,State Assembly,,UNK,Tony Guerrera,40,0,2
Hartford,Rocky Hill 1A - WEST HILL D1,Secretary of State,,REP,Peter Lumaj,1360,15,67
Hartford,Rocky Hill 1A - WEST HILL D1,Secretary of State,,IND,Peter Lumaj,41,0,2
Hartford,Rocky Hill 1A - WEST HILL D1,Secretary of State,,UNK,Peter Lumaj,2,0,0
Hartford,Rocky Hill 1A - WEST HILL D1,Secretary of State,,DEM,Denise Merrill,1243,11,78
Hartford,Rocky Hill 1A - WEST HILL D1,Secretary of State,,WF,Denise Merrill,48,0,4
Hartford,Rocky Hill 1A - WEST HILL D1,Secretary of State,,UNK,Denise Merrill,13,0,1
Hartford,Rocky Hill 1A - WEST HILL D1,Secretary of State,,Green,Michael DeRosa,63,3,4
Hartford,Rocky Hill 1A - WEST HILL D1,State Treasurer,,REP,Tim Herbst,1585,16,78
Hartford,Rocky Hill 1A - WEST HILL D1,State Treasurer,,IND,Tim Herbst,76,0,5
Hartford,Rocky Hill 1A - WEST HILL D1,State Treasurer,,UNK,Tim Herbst,3,0,0
Hartford,Rocky Hill 1A - WEST HILL D1,State Treasurer,,DEM,Denise Nappier,1091,13,70
Hartford,Rocky Hill 1A - WEST HILL D1,State Treasurer,,WF,Denise Nappier,33,0,3
Hartford,Rocky Hill 1A - WEST HILL D1,State Treasurer,,UNK,Denise Nappier,11,0,1
Hartford,Rocky Hill 1A - WEST HILL D1,Comptroller,,REP,Sharon McLaughlin,1252,16,73
Hartford,Rocky Hill 1A - WEST HILL D1,Comptroller,,IND,Sharon McLaughlin,43,0,1
Hartford,Rocky Hill 1A - WEST HILL D1,Comptroller,,UNK,Sharon McLaughlin,3,0,0
Hartford,Rocky Hill 1A - WEST HILL D1,Comptroller,,DEM,Kevin Lembo,1332,11,72
Hartford,Rocky Hill 1A - WEST HILL D1,Comptroller,,WF,Kevin Lembo,56,1,1
Hartford,Rocky Hill 1A - WEST HILL D1,Comptroller,,UNK,Kevin Lembo,8,0,1
Hartford,Rocky Hill 1A - WEST HILL D1,Comptroller,,Green,Rolf Maurer,32,0,3
Hartford,Rocky Hill 1A - WEST HILL D1,Attorney General,,REP,Kie Westby,1133,14,59
Hartford,Rocky Hill 1A - WEST HILL D1,Attorney General,,IND,Kie Westby,35,0,4
Hartford,Rocky Hill 1A - WEST HILL D1,Attorney General,,UNK,Kie Westby,3,0,0
Hartford,Rocky Hill 1A - WEST HILL D1,Attorney General,,DEM,George Jepsen,1480,13,82
Hartford,Rocky Hill 1A - WEST HILL D1,Attorney General,,WF,George Jepsen,54,1,1
Hartford,Rocky Hill 1A - WEST HILL D1,Attorney General,,UNK,George Jepsen,12,0,1
Hartford,Rocky Hill 1A - WEST HILL D1,Attorney General,,Green,Stephen Fournier,43,1,3
Hartford,Rocky Hill City CT,Governor,,REP,Thomas C. Foley,3129,50,151
Hartford,Rocky Hill City CT,Governor,,IND,Thomas C. Foley,99,1,8
Hartford,Rocky Hill City CT,Governor,,UNK,Thomas C. Foley,30,0,0
Hartford,Rocky Hill City CT,Governor,,DEM,Dannel P. Malloy,2812,46,170
Hartford,Rocky Hill City CT,Governor,,WF,Dannel P. Malloy,101,1,1
Hartford,Rocky Hill City CT,Governor,,UNK,Dannel P. Malloy,95,1,3
Hartford,Rocky Hill City CT,Governor,,PC,Joe Visconti,64,3,6
Hartford,Rocky Hill City CT,U.S. House,1,REP,Matthew Corey,2498,38,120
Hartford,Rocky Hill City CT,U.S. House,1,DEM,John Larson,3438,51,200
Hartford,Rocky Hill City CT,U.S. House,1,WF,John Larson,186,1,10
Hartford,Rocky Hill City CT,U.S. House,1,UNK,John Larson,46,0,2
Hartford,Rocky Hill City CT,U.S. House,1,Green,Jeffery Russell,98,2,5
Hartford,Rocky Hill City CT,State Senate,,REP,Earle Roberts,2341,36,78
Hartford,Rocky Hill City CT,State Senate,,DEM,Paul Doyle,3851,56,225
Hartford,Rocky Hill City CT,State Assembly,,DEM,Tony Guerrera,4312,62,236
Hartford,Rocky Hill City CT,State Assembly,,WF,Tony Guerrera,516,8,17
Hartford,Rocky Hill City CT,State Assembly,,UNK,Tony Guerrera,82,1,4
Hartford,Rocky Hill City CT,Secretary of State,,REP,Peter Lumaj,2780,41,129
Hartford,Rocky Hill City CT,Secretary of State,,IND,Peter Lumaj,130,2,6
Hartford,Rocky Hill City CT,Secretary of State,,UNK,Peter Lumaj,9,0,0
Hartford,Rocky Hill City CT,Secretary of State,,DEM,Denise Merrill,2928,44,179
Hartford,Rocky Hill City CT,Secretary of State,,WF,Denise Merrill,153,1,6
Hartford,Rocky Hill City CT,Secretary of State,,UNK,Denise Merrill,30,0,3
Hartford,Rocky Hill City CT,Secretary of State,,Green,Michael DeRosa,163,6,10
Hartford,Rocky Hill City CT,State Treasurer,,REP,Tim Herbst,3188,40,146
Hartford,Rocky Hill City CT,State Treasurer,,IND,Tim Herbst,209,2,9
Hartford,Rocky Hill City CT,State Treasurer,,UNK,Tim Herbst,12,0,0
Hartford,Rocky Hill City CT,State Treasurer,,DEM,Denise Nappier,2369,47,170
Hartford,Rocky Hill City CT,State Treasurer,,WF,Denise Nappier,130,2,5
Hartford,Rocky Hill City CT,State Treasurer,,UNK,Denise Nappier,33,0,3
Hartford,Rocky Hill City CT,Comptroller,,REP,Sharon McLaughlin,2557,37,140
Hartford,Rocky Hill City CT,Comptroller,,IND,Sharon McLaughlin,126,1,3
Hartford,Rocky Hill City CT,Comptroller,,UNK,Sharon McLaughlin,5,0,1
Hartford,Rocky Hill City CT,Comptroller,,DEM,Kevin Lembo,3130,46,167
Hartford,Rocky Hill City CT,Comptroller,,WF,Kevin Lembo,168,2,4
Hartford,Rocky Hill City CT,Comptroller,,UNK,Kevin Lembo,24,0,2
Hartford,Rocky Hill City CT,Comptroller,,Green,Rolf Maurer,91,3,7
Hartford,Rocky Hill City CT,Attorney General,,REP,Kie Westby,2328,33,110
Hartford,Rocky Hill City CT,Attorney General,,IND,Kie Westby,91,0,5
Hartford,Rocky Hill City CT,Attorney General,,UNK,Kie Westby,5,0,0
Hartford,Rocky Hill City CT,Attorney General,,DEM,George Jepsen,3409,52,195
Hartford,Rocky Hill City CT,Attorney General,,WF,George Jepsen,171,3,5
Hartford,Rocky Hill City CT,Attorney General,,UNK,George Jepsen,29,0,2
Hartford,Rocky Hill City CT,Attorney General,,Green,Stephen Fournier,123,4,10
